posting_date,transaction_date,description,merchant_category,type,amount,running_balance,reference_id,channel
2026-02-08,2026-02-08,POTBELLY #14 CHICAGO IL,Dining,DEBIT,-9.67,3965.15,480200046,POS
2026-02-08,2026-02-08,SPOTIFY USA,Subscriptions,DEBIT,-11.99,3953.16,480200047,ACH
2026-02-08,2026-02-08,NETFLIX.COM,Subscriptions,DEBIT,-15.49,3937.67,480200048,ACH
2026-02-08,2026-02-08,LA FITNESS MEMBERSHIP,Subscriptions,DEBIT,-39.99,3897.68,480200049,ACH
2026-02-08,2026-02-08,APPLE.COM/BILL ICLOUD,Subscriptions,DEBIT,-2.99,3894.69,480200050,ACH
2026-02-08,2026-02-08,NYTIMES DIGITAL SUBSCRIPTION,Subscriptions,DEBIT,-4.25,3890.44,480200051,ACH
2026-02-08,2026-02-08,DOORDASH *DASHPASS,Subscriptions,DEBIT,-9.99,3880.45,480200052,ACH
2026-02-09,2026-02-09,TRADER JOES #688 CHICAGO IL,Groceries,DEBIT,-98.14,3782.31,480200053,POS
2026-02-11,2026-02-11,LOU MALNATI'S CHICAGO IL,Dining,DEBIT,-17.48,3764.83,480200054,POS
2026-02-13,2026-02-13,LYFT *RIDE,Transit,DEBIT,-20.87,3743.96,480200055,POS
2026-02-14,2026-02-14,MARIANO'S #512 CHICAGO IL,Groceries,DEBIT,-74.34,3669.62,480200056,POS
2026-02-14,2026-02-14,PORTILLO'S CHICAGO IL,Dining,DEBIT,-25.05,3644.57,480200057,POS
2026-02-14,2026-02-14,CTA VENTRA AUTOLOAD,Transit,DEBIT,-30.00,3614.57,480200058,POS
2026-02-15,2026-02-15,HALSTEAD CRANE PAYROLL DIR DEP,Payroll,CREDIT,2926.12,6540.69,480200059,ACH
2026-02-17,2026-02-17,STARBUCKS #221 CHICAGO IL,Dining,DEBIT,-20.50,6520.19,480200060,POS
2026-02-18,2026-02-18,TRANSFER TO BROKERAGE *FIDELITY,Transfers,DEBIT,-250.00,6270.19,480200061,ACH
2026-02-18,2026-02-18,TRANSFER TO SAVINGS *LAKESHORE,Transfers,DEBIT,-300.00,5970.19,480200062,ACH
2026-02-19,2026-02-19,WHOLE FOODS MKT CHICAGO IL,Groceries,DEBIT,-84.08,5886.11,480200063,POS
2026-02-19,2026-02-19,CVS PHARMACY #882 CHICAGO IL,Health,DEBIT,-25.80,5860.31,480200064,POS
2026-02-20,2026-02-20,SQ *LOCAL COFFEE CHICAGO IL,Dining,DEBIT,-25.29,5835.02,480200065,POS
2026-02-20,2026-02-20,AMAZON MKTPLACE,Shopping,DEBIT,-65.53,5769.49,480200066,POS
2026-02-22,2026-02-22,CTA VENTRA AUTOLOAD,Transit,DEBIT,-30.00,5739.49,480200067,POS
2026-02-22,2026-02-22,TARGET 00012 CHICAGO IL,Shopping,DEBIT,-61.65,5677.84,480200068,POS
2026-02-24,2026-02-24,REI.COM ONLINE,Shopping,DEBIT,-78.91,5598.93,480200069,POS
2026-02-25,2026-02-25,ATM WITHDRAWAL LASALLE ST,Cash,DEBIT,-100.00,5498.93,480200070,ATM
2026-02-26,2026-02-26,BEST BUY #221 CHICAGO IL,Shopping,DEBIT,-50.27,5448.66,480200071,POS
2026-02-28,2026-02-28,HALSTEAD CRANE PAYROLL DIR DEP,Payroll,CREDIT,2926.12,8374.78,480200072,ACH
2026-02-28,2026-02-28,INTEREST PAID,Interest,CREDIT,2.56,8377.34,480200073,INT
2026-02-28,2026-02-28,MONTHLY MAINTENANCE FEE,Fees,DEBIT,-12.00,8365.34,480200074,FEE
2026-03-01,2026-03-01,MERIDIAN BANK CARD AUTOPAY ****7732,Credit Card Payment,DEBIT,-62.19,8303.15,480200075,ACH
2026-03-02,2026-03-02,ZELLE TO J. OKAFOR RENT SHARE,Rent,DEBIT,-1150.00,7153.15,480200076,ZELLE
2026-03-03,2026-03-03,COMED UTILITY BILL,Utilities,DEBIT,-75.10,7078.05,480200077,ACH
2026-03-03,2026-03-03,PEOPLES GAS,Utilities,DEBIT,-40.90,7037.15,480200078,ACH
2026-03-04,2026-03-04,JEWEL-OSCO #3421 CHICAGO IL,Groceries,DEBIT,-64.93,6972.22,480200079,POS
2026-03-05,2026-03-05,CHIPOTLE 1845 CHICAGO IL,Dining,DEBIT,-6.12,6966.10,480200080,POS
2026-03-06,2026-03-06,CTA VENTRA AUTOLOAD,Transit,DEBIT,-30.00,6936.10,480200081,POS
2026-03-07,2026-03-07,GREAT LAKES STUDENT LOANS PMT,Student Loan,DEBIT,-1847.00,5089.10,480200082,ACH
2026-03-08,2026-03-08,POTBELLY #14 CHICAGO IL,Dining,DEBIT,-12.21,5076.89,480200083,POS
2026-03-08,2026-03-08,SPOTIFY USA,Subscriptions,DEBIT,-11.99,5064.90,480200084,ACH
2026-03-08,2026-03-08,NETFLIX.COM,Subscriptions,DEBIT,-15.49,5049.41,480200085,ACH
2026-03-08,2026-03-08,LA FITNESS MEMBERSHIP,Subscriptions,DEBIT,-39.99,5009.42,480200086,ACH
2026-03-08,2026-03-08,APPLE.COM/BILL ICLOUD,Subscriptions,DEBIT,-2.99,5006.43,480200087,ACH
2026-03-08,2026-03-08,NYTIMES DIGITAL SUBSCRIPTION,Subscriptions,DEBIT,-4.25,5002.18,480200088,ACH
2026-03-08,2026-03-08,DOORDASH *DASHPASS,Subscriptions,DEBIT,-9.99,4992.19,480200089,ACH
2026-03-09,2026-03-09,TRADER JOES #688 CHICAGO IL,Groceries,DEBIT,-79.06,4913.13,480200090,POS
2026-03-11,2026-03-11,LOU MALNATI'S CHICAGO IL,Dining,DEBIT,-15.44,4897.69,480200091,POS
2026-03-13,2026-03-13,LYFT *RIDE,Transit,DEBIT,-20.56,4877.13,480200092,POS
2026-03-14,2026-03-14,MARIANO'S #512 CHICAGO IL,Groceries,DEBIT,-61.02,4816.11,480200093,POS
2026-03-14,2026-03-14,PORTILLO'S CHICAGO IL,Dining,DEBIT,-26.03,4790.08,480200094,POS
2026-03-14,2026-03-14,CTA VENTRA AUTOLOAD,Transit,DEBIT,-30.00,4760.08,480200095,POS
2026-03-15,2026-03-15,HALSTEAD CRANE PAYROLL DIR DEP,Payroll,CREDIT,2926.12,7686.20,480200096,ACH
2026-03-17,2026-03-17,STARBUCKS #221 CHICAGO IL,Dining,DEBIT,-21.36,7664.84,480200097,POS
2026-03-18,2026-03-18,TRANSFER TO BROKERAGE *FIDELITY,Transfers,DEBIT,-250.00,7414.84,480200098,ACH
2026-03-18,2026-03-18,TRANSFER TO SAVINGS *LAKESHORE,Transfers,DEBIT,-300.00,7114.84,480200099,ACH
2026-03-19,2026-03-19,WHOLE FOODS MKT CHICAGO IL,Groceries,DEBIT,-59.50,7055.34,480200100,POS
2026-03-19,2026-03-19,CVS PHARMACY #882 CHICAGO IL,Health,DEBIT,-21.59,7033.75,480200101,POS
2026-03-20,2026-03-20,SQ *LOCAL COFFEE CHICAGO IL,Dining,DEBIT,-19.60,7014.15,480200102,POS
2026-03-20,2026-03-20,AMAZON MKTPLACE,Shopping,DEBIT,-91.53,6922.62,480200103,POS
2026-03-22,2026-03-22,CTA VENTRA AUTOLOAD,Transit,DEBIT,-30.00,6892.62,480200104,POS
2026-03-22,2026-03-22,TARGET 00012 CHICAGO IL,Shopping,DEBIT,-73.53,6819.09,480200105,POS
2026-03-24,2026-03-24,REI.COM ONLINE,Shopping,DEBIT,-88.73,6730.36,480200106,POS
2026-03-25,2026-03-25,ATM WITHDRAWAL LASALLE ST,Cash,DEBIT,-100.00,6630.36,480200107,ATM
2026-03-26,2026-03-26,BEST BUY #221 CHICAGO IL,Shopping,DEBIT,-84.54,6545.82,480200108,POS
2026-03-28,2026-03-28,INTEREST PAID,Interest,CREDIT,2.61,6548.43,480200109,INT
2026-03-30,2026-03-30,HALSTEAD CRANE PAYROLL DIR DEP,Payroll,CREDIT,2926.12,9474.55,480200110,ACH
2026-03-30,2026-03-30,MONTHLY MAINTENANCE FEE,Fees,DEBIT,-12.00,9462.55,480200111,FEE
2026-04-01,2026-04-01,MERIDIAN BANK CARD AUTOPAY ****7732,Credit Card Payment,DEBIT,-63.50,9399.05,480200112,ACH
2026-04-02,2026-04-02,ZELLE TO J. OKAFOR RENT SHARE,Rent,DEBIT,-1150.00,8249.05,480200113,ZELLE
2026-04-03,2026-04-03,COMED UTILITY BILL,Utilities,DEBIT,-76.80,8172.25,480200114,ACH
2026-04-03,2026-04-03,PEOPLES GAS,Utilities,DEBIT,-43.20,8129.05,480200115,ACH
2026-04-04,2026-04-04,JEWEL-OSCO #3421 CHICAGO IL,Groceries,DEBIT,-83.45,8045.60,480200116,POS
2026-04-05,2026-04-05,CHIPOTLE 1845 CHICAGO IL,Dining,DEBIT,-27.94,8017.66,480200117,POS
2026-04-06,2026-04-06,CTA VENTRA AUTOLOAD,Transit,DEBIT,-30.00,7987.66,480200118,POS
2026-04-07,2026-04-07,GREAT LAKES STUDENT LOANS PMT,Student Loan,DEBIT,-1847.00,6140.66,480200119,ACH
2026-04-08,2026-04-08,POTBELLY #14 CHICAGO IL,Dining,DEBIT,-21.25,6119.41,480200120,POS
2026-04-08,2026-04-08,SPOTIFY USA,Subscriptions,DEBIT,-11.99,6107.42,480200121,ACH
2026-04-08,2026-04-08,NETFLIX.COM,Subscriptions,DEBIT,-15.49,6091.93,480200122,ACH
2026-04-08,2026-04-08,LA FITNESS MEMBERSHIP,Subscriptions,DEBIT,-39.99,6051.94,480200123,ACH
2026-04-08,2026-04-08,APPLE.COM/BILL ICLOUD,Subscriptions,DEBIT,-2.99,6048.95,480200124,ACH
2026-04-08,2026-04-08,NYTIMES DIGITAL SUBSCRIPTION,Subscriptions,DEBIT,-4.25,6044.70,480200125,ACH
2026-04-08,2026-04-08,DOORDASH *DASHPASS,Subscriptions,DEBIT,-9.99,6034.71,480200126,ACH
2026-04-09,2026-04-09,TRADER JOES #688 CHICAGO IL,Groceries,DEBIT,-73.89,5960.82,480200127,POS
2026-04-11,2026-04-11,LOU MALNATI'S CHICAGO IL,Dining,DEBIT,-26.94,5933.88,480200128,POS
2026-04-13,2026-04-13,LYFT *RIDE,Transit,DEBIT,-17.79,5916.09,480200129,POS
2026-04-14,2026-04-14,MARIANO'S #512 CHICAGO IL,Groceries,DEBIT,-63.32,5852.77,480200130,POS
2026-04-14,2026-04-14,PORTILLO'S CHICAGO IL,Dining,DEBIT,-12.17,5840.60,480200131,POS
2026-04-14,2026-04-14,CTA VENTRA AUTOLOAD,Transit,DEBIT,-30.00,5810.60,480200132,POS
2026-04-15,2026-04-15,HALSTEAD CRANE PAYROLL DIR DEP,Payroll,CREDIT,2926.12,8736.72,480200133,ACH
2026-04-17,2026-04-17,STARBUCKS #221 CHICAGO IL,Dining,DEBIT,-16.81,8719.91,480200134,POS
2026-04-18,2026-04-18,TRANSFER TO BROKERAGE *FIDELITY,Transfers,DEBIT,-250.00,8469.91,480200135,ACH
2026-04-18,2026-04-18,TRANSFER TO SAVINGS *LAKESHORE,Transfers,DEBIT,-300.00,8169.91,480200136,ACH
2026-04-19,2026-04-19,WHOLE FOODS MKT CHICAGO IL,Groceries,DEBIT,-89.81,8080.10,480200137,POS
2026-04-19,2026-04-19,CVS PHARMACY #882 CHICAGO IL,Health,DEBIT,-12.10,8068.00,480200138,POS
2026-04-20,2026-04-20,SQ *LOCAL COFFEE CHICAGO IL,Dining,DEBIT,-18.80,8049.20,480200139,POS
2026-04-20,2026-04-20,AMAZON MKTPLACE,Shopping,DEBIT,-47.10,8002.10,480200140,POS
2026-04-22,2026-04-22,CTA VENTRA AUTOLOAD,Transit,DEBIT,-30.00,7972.10,480200141,POS
2026-04-22,2026-04-22,TARGET 00012 CHICAGO IL,Shopping,DEBIT,-56.77,7915.33,480200142,POS
2026-04-24,2026-04-24,REI.COM ONLINE,Shopping,DEBIT,-56.96,7858.37,480200143,POS
2026-04-25,2026-04-25,ATM WITHDRAWAL LASALLE ST,Cash,DEBIT,-100.00,7758.37,480200144,ATM
2026-04-26,2026-04-26,BEST BUY #221 CHICAGO IL,Shopping,DEBIT,-49.32,7709.05,480200145,POS
2026-04-28,2026-04-28,INTEREST PAID,Interest,CREDIT,2.82,7711.87,480200146,INT
2026-04-30,2026-04-30,HALSTEAD CRANE PAYROLL DIR DEP,Payroll,CREDIT,2926.12,10637.99,480200147,ACH
2026-04-30,2026-04-30,MONTHLY MAINTENANCE FEE,Fees,DEBIT,-12.00,10625.99,480200148,FEE
2026-05-01,2026-05-01,MERIDIAN BANK CARD AUTOPAY ****7732,Credit Card Payment,DEBIT,-64.92,10561.07,480200149,ACH
2026-05-02,2026-05-02,ZELLE TO J. OKAFOR RENT SHARE,Rent,DEBIT,-1150.00,9411.07,480200150,ZELLE
2026-05-03,2026-05-03,COMED UTILITY BILL,Utilities,DEBIT,-78.50,9332.57,480200151,ACH
2026-05-03,2026-05-03,PEOPLES GAS,Utilities,DEBIT,-45.50,9287.07,480200152,ACH
2026-05-04,2026-05-04,JEWEL-OSCO #3421 CHICAGO IL,Groceries,DEBIT,-93.45,9193.62,480200153,POS
2026-05-05,2026-05-05,CHIPOTLE 1845 CHICAGO IL,Dining,DEBIT,-28.05,9165.57,480200154,POS
2026-05-06,2026-05-06,CTA VENTRA AUTOLOAD,Transit,DEBIT,-30.00,9135.57,480200155,POS
2026-05-07,2026-05-07,GREAT LAKES STUDENT LOANS PMT,Student Loan,DEBIT,-1847.00,7288.57,480200156,ACH
2026-05-08,2026-05-08,POTBELLY #14 CHICAGO IL,Dining,DEBIT,-26.68,7261.89,480200157,POS
2026-05-08,2026-05-08,SPOTIFY USA,Subscriptions,DEBIT,-11.99,7249.90,480200158,ACH
2026-05-08,2026-05-08,NETFLIX.COM,Subscriptions,DEBIT,-15.49,7234.41,480200159,ACH
2026-05-08,2026-05-08,LA FITNESS MEMBERSHIP,Subscriptions,DEBIT,-39.99,7194.42,480200160,ACH
2026-05-08,2026-05-08,APPLE.COM/BILL ICLOUD,Subscriptions,DEBIT,-2.99,7191.43,480200161,ACH
2026-05-08,2026-05-08,NYTIMES DIGITAL SUBSCRIPTION,Subscriptions,DEBIT,-4.25,7187.18,480200162,ACH
2026-05-08,2026-05-08,DOORDASH *DASHPASS,Subscriptions,DEBIT,-9.99,7177.19,480200163,ACH
2026-05-09,2026-05-09,TRADER JOES #688 CHICAGO IL,Groceries,DEBIT,-92.11,7085.08,480200164,POS
2026-05-11,2026-05-11,LOU MALNATI'S CHICAGO IL,Dining,DEBIT,-16.40,7068.68,480200165,POS
2026-05-13,2026-05-13,LYFT *RIDE,Transit,DEBIT,-21.90,7046.78,480200166,POS
2026-05-14,2026-05-14,MARIANO'S #512 CHICAGO IL,Groceries,DEBIT,-87.80,6958.98,480200167,POS
2026-05-14,2026-05-14,PORTILLO'S CHICAGO IL,Dining,DEBIT,-28.66,6930.32,480200168,POS
2026-05-14,2026-05-14,CTA VENTRA AUTOLOAD,Transit,DEBIT,-30.00,6900.32,480200169,POS
2026-05-15,2026-05-15,HALSTEAD CRANE PAYROLL DIR DEP,Payroll,CREDIT,2926.12,9826.44,480200170,ACH
2026-05-17,2026-05-17,STARBUCKS #221 CHICAGO IL,Dining,DEBIT,-8.30,9818.14,480200171,POS
2026-05-18,2026-05-18,TRANSFER TO BROKERAGE *FIDELITY,Transfers,DEBIT,-250.00,9568.14,480200172,ACH
2026-05-18,2026-05-18,TRANSFER TO SAVINGS *LAKESHORE,Transfers,DEBIT,-300.00,9268.14,480200173,ACH
2026-05-19,2026-05-19,WHOLE FOODS MKT CHICAGO IL,Groceries,DEBIT,-91.24,9176.90,480200174,POS
2026-05-19,2026-05-19,CVS PHARMACY #882 CHICAGO IL,Health,DEBIT,-21.90,9155.00,480200175,POS
2026-05-20,2026-05-20,SQ *LOCAL COFFEE CHICAGO IL,Dining,DEBIT,-27.90,9127.10,480200176,POS
2026-05-20,2026-05-20,AMAZON MKTPLACE,Shopping,DEBIT,-71.55,9055.55,480200177,POS
2026-05-22,2026-05-22,CTA VENTRA AUTOLOAD,Transit,DEBIT,-30.00,9025.55,480200178,POS
2026-05-22,2026-05-22,TARGET 00012 CHICAGO IL,Shopping,DEBIT,-85.56,8939.99,480200179,POS
2026-05-24,2026-05-24,REI.COM ONLINE,Shopping,DEBIT,-62.83,8877.16,480200180,POS
2026-05-25,2026-05-25,ATM WITHDRAWAL LASALLE ST,Cash,DEBIT,-100.00,8777.16,480200181,ATM
2026-05-26,2026-05-26,BEST BUY #221 CHICAGO IL,Shopping,DEBIT,-62.87,8714.29,480200182,POS
2026-05-28,2026-05-28,INTEREST PAID,Interest,CREDIT,2.98,8717.27,480200183,INT
2026-05-30,2026-05-30,HALSTEAD CRANE PAYROLL DIR DEP,Payroll,CREDIT,2926.12,11643.39,480200184,ACH
2026-05-30,2026-05-30,MONTHLY MAINTENANCE FEE,Fees,DEBIT,-12.00,11631.39,480200185,FEE
2026-06-01,2026-06-01,MERIDIAN BANK CARD AUTOPAY ****7732,Credit Card Payment,DEBIT,-66.42,11564.97,480200186,ACH
2026-06-02,2026-06-02,ZELLE TO J. OKAFOR RENT SHARE,Rent,DEBIT,-1150.00,10414.97,480200187,ZELLE
2026-06-03,2026-06-03,COMED UTILITY BILL,Utilities,DEBIT,-80.20,10334.77,480200188,ACH
2026-06-03,2026-06-03,PEOPLES GAS,Utilities,DEBIT,-47.80,10286.97,480200189,ACH
2026-06-04,2026-06-04,JEWEL-OSCO #3421 CHICAGO IL,Groceries,DEBIT,-87.49,10199.48,480200190,POS
2026-06-05,2026-06-05,CHIPOTLE 1845 CHICAGO IL,Dining,DEBIT,-16.99,10182.49,480200191,POS
2026-06-06,2026-06-06,CTA VENTRA AUTOLOAD,Transit,DEBIT,-30.00,10152.49,480200192,POS
2026-06-07,2026-06-07,GREAT LAKES STUDENT LOANS PMT,Student Loan,DEBIT,-1847.00,8305.49,480200193,ACH
2026-06-08,2026-06-08,POTBELLY #14 CHICAGO IL,Dining,DEBIT,-29.73,8275.76,480200194,POS
2026-06-08,2026-06-08,SPOTIFY USA,Subscriptions,DEBIT,-11.99,8263.77,480200195,ACH
2026-06-08,2026-06-08,NETFLIX.COM,Subscriptions,DEBIT,-15.49,8248.28,480200196,ACH
2026-06-08,2026-06-08,LA FITNESS MEMBERSHIP,Subscriptions,DEBIT,-39.99,8208.29,480200197,ACH
2026-06-08,2026-06-08,APPLE.COM/BILL ICLOUD,Subscriptions,DEBIT,-2.99,8205.30,480200198,ACH
2026-06-08,2026-06-08,NYTIMES DIGITAL SUBSCRIPTION,Subscriptions,DEBIT,-4.25,8201.05,480200199,ACH
2026-06-08,2026-06-08,DOORDASH *DASHPASS,Subscriptions,DEBIT,-9.99,8191.06,480200200,ACH
2026-06-09,2026-06-09,TRADER JOES #688 CHICAGO IL,Groceries,DEBIT,-82.81,8108.25,480200201,POS
2026-06-11,2026-06-11,LOU MALNATI'S CHICAGO IL,Dining,DEBIT,-23.42,8084.83,480200202,POS
2026-06-13,2026-06-13,LYFT *RIDE,Transit,DEBIT,-14.63,8070.20,480200203,POS
2026-06-14,2026-06-14,MARIANO'S #512 CHICAGO IL,Groceries,DEBIT,-78.64,7991.56,480200204,POS
2026-06-14,2026-06-14,PORTILLO'S CHICAGO IL,Dining,DEBIT,-9.68,7981.88,480200205,POS
2026-06-14,2026-06-14,CTA VENTRA AUTOLOAD,Transit,DEBIT,-30.00,7951.88,480200206,POS
2026-06-15,2026-06-15,HALSTEAD CRANE PAYROLL DIR DEP,Payroll,CREDIT,2926.12,10878.00,480200207,ACH
2026-06-17,2026-06-17,STARBUCKS #221 CHICAGO IL,Dining,DEBIT,-13.10,10864.90,480200208,POS
2026-06-18,2026-06-18,TRANSFER TO BROKERAGE *FIDELITY,Transfers,DEBIT,-250.00,10614.90,480200209,ACH
2026-06-18,2026-06-18,TRANSFER TO SAVINGS *LAKESHORE,Transfers,DEBIT,-300.00,10314.90,480200210,ACH
2026-06-19,2026-06-19,WHOLE FOODS MKT CHICAGO IL,Groceries,DEBIT,-65.64,10249.26,480200211,POS
2026-06-19,2026-06-19,CVS PHARMACY #882 CHICAGO IL,Health,DEBIT,-25.80,10223.46,480200212,POS
2026-06-20,2026-06-20,SQ *LOCAL COFFEE CHICAGO IL,Dining,DEBIT,-22.14,10201.32,480200213,POS
2026-06-20,2026-06-20,AMAZON MKTPLACE,Shopping,DEBIT,-65.54,10135.78,480200214,POS
2026-06-22,2026-06-22,CTA VENTRA AUTOLOAD,Transit,DEBIT,-30.00,10105.78,480200215,POS
2026-06-22,2026-06-22,TARGET 00012 CHICAGO IL,Shopping,DEBIT,-46.07,10059.71,480200216,POS
2026-06-24,2026-06-24,REI.COM ONLINE,Shopping,DEBIT,-48.79,10010.92,480200217,POS
