posting_date,transaction_date,description,merchant_category,type,amount,running_balance,channel,reference_id,location
2025-01-24,2025-01-24,AUTOPAY CAP ONE VENTURE 8841 250124,Credit Card Pmt,debit,-2145.3,19749.09,ACH,594433,
2025-01-27,2025-01-27,WHOLE FOODS MKT #10234 WASHINGTON DC 0565,Groceries,debit,-200.88,19548.21,POS,362490,Washington DC
2025-01-31,2025-01-31,DIR DEP DOJ NFC PAY PPD250131,Payroll,credit,4745.56,24293.77,ACH,056041,
2025-01-31,2025-01-31,DIR DEP POTOMAC GEN PAYROLL 250131,Payroll,credit,5727.85,30021.62,ACH,540561,
2025-02-01,2025-02-01,ACH MORTGAGE FIRSTMERIDIAN LN0731 250201,Mortgage,debit,-4569.67,25451.95,ACH,853288,
2025-02-02,2025-02-02,SHELL OIL 14TH ST WASHINGTON DC 2340,Transportation,debit,-75.05,25376.9,POS,234096,Washington DC
2025-02-03,2025-02-03,PEPCO ENERGY BILLPAY FEB-25,Utilities,debit,-217.14,25159.76,ACH,307084,
2025-02-04,2025-02-04,WASHINGTON GAS BILLPAY FEB-25,Utilities,debit,-165.0,24994.76,ACH,659505,
2025-02-05,2025-02-05,DC WATER BILLPAY FEB-25,Utilities,debit,-97.0,24897.76,ACH,143281,
2025-02-06,2025-02-06,ACH PAYROLL CARRASCO-VEGA 250206,Household Payroll,debit,-1939.35,22958.41,ACH,968093,
2025-02-06,2025-02-06,VERIZON FIOS INTERNET FEB-25,Utilities,debit,-89.99,22868.42,ACH,549222,
2025-02-07,2025-02-07,VERIZON WIRELESS PMT FEB-25,Utilities,debit,-181.45,22686.97,ACH,819239,
2025-02-07,2025-02-07,NETFLIX.COM,Streaming,debit,-24.99,22661.98,POS,895303,
2025-02-08,2025-02-08,SPOTIFY USA FAMILY,Streaming,debit,-19.99,22641.99,POS,964667,
2025-02-09,2025-02-09,NYTIMES DIGITAL SUBSCR,News/Media,debit,-25.0,22616.99,POS,746499,
2025-02-10,2025-02-10,ACH TUITION CATHEDRAL HTS 250210,Education,debit,-12000.0,10616.99,ACH,924880,
2025-02-10,2025-02-10,APPLE.COM/BILL ICLOUD,Software,debit,-9.99,10607.0,POS,306788,
2025-02-10,2025-02-10,ATM WITHDRAWAL 14TH ST NW 0445,Cash,debit,-300.0,10307.0,ATM,009203,Washington DC
2025-02-11,2025-02-11,PELOTON MEMBERSHIP,Health/Fitness,debit,-44.0,10263.0,POS,016449,
2025-02-11,2025-02-11,RASIKA RESTAURANT WASHINGTON DC 4911,Dining,debit,-68.84,10194.16,POS,314911,Washington DC
2025-02-12,2025-02-12,DISNEY PLUS,Streaming,debit,-15.99,10178.17,POS,790916,
2025-02-14,2025-02-14,ZELLE PMT TO SITTER PETTY CASH 437167,Transfer,debit,-176.89,10001.28,ACH,124125,
2025-02-15,2025-02-15,DIR DEP DOJ NFC PAY PPD250215,Payroll,credit,4745.56,14746.84,ACH,106108,
2025-02-15,2025-02-15,DIR DEP POTOMAC GEN PAYROLL 250215,Payroll,credit,5727.85,20474.69,ACH,732720,
2025-02-16,2025-02-16,TRANSFER TO MERIDIAN BRKG Z18 434223,Transfer/Investment,debit,-250.0,20224.69,ACH,847479,
2025-02-21,2025-02-21,ACH PAYROLL CARRASCO-VEGA 250221,Household Payroll,debit,-1939.35,18285.34,ACH,597921,
2025-02-22,2025-02-22,COLONIAL PARKING WASHINGTON DC 7614,Transportation,debit,-99.07,18186.27,POS,264879,Washington DC
2025-02-24,2025-02-24,AUTOPAY CAP ONE VENTURE 8841 250224,Credit Card Pmt,debit,-2549.65,15636.62,ACH,409868,
2025-02-24,2025-02-24,WMATA SMARTRIP RELOAD WASHINGTON DC 0384,Transportation,debit,-81.68,15554.94,POS,298022,Washington DC
2025-02-24,2025-02-24,TARGET #2718 COLUMBIA HTS WASHINGTON DC 8891,Shopping,debit,-202.5,15352.44,POS,325708,Washington DC
2025-02-27,2025-02-27,CVS/PHARMACY #04417 WASHINGTON DC 2143,Shopping,debit,-257.24,15095.2,POS,227504,Washington DC
2025-02-28,2025-02-28,DIR DEP DOJ NFC PAY PPD250228,Payroll,credit,4745.56,19840.76,ACH,408362,
2025-02-28,2025-02-28,DIR DEP POTOMAC GEN PAYROLL 250228,Payroll,credit,5727.85,25568.61,ACH,240668,
2025-03-01,2025-03-01,ACH MORTGAGE FIRSTMERIDIAN LN0731 250301,Mortgage,debit,-4569.67,20998.94,ACH,367793,
2025-03-03,2025-03-03,PEPCO ENERGY BILLPAY MAR-25,Utilities,debit,-230.46,20768.48,ACH,587394,
2025-03-04,2025-03-04,WASHINGTON GAS BILLPAY MAR-25,Utilities,debit,-131.0,20637.48,ACH,874729,
2025-03-05,2025-03-05,DC WATER BILLPAY MAR-25,Utilities,debit,-111.53,20525.95,ACH,832629,
2025-03-06,2025-03-06,ACH PAYROLL CARRASCO-VEGA 250306,Household Payroll,debit,-1939.35,18586.6,ACH,784292,
2025-03-06,2025-03-06,VERIZON FIOS INTERNET MAR-25,Utilities,debit,-89.99,18496.61,ACH,217743,
2025-03-07,2025-03-07,VERIZON WIRELESS PMT MAR-25,Utilities,debit,-188.43,18308.18,ACH,659339,
2025-03-07,2025-03-07,NETFLIX.COM,Streaming,debit,-24.99,18283.19,POS,059618,
2025-03-08,2025-03-08,SPOTIFY USA FAMILY,Streaming,debit,-19.99,18263.2,POS,100492,
2025-03-09,2025-03-09,NYTIMES DIGITAL SUBSCR,News/Media,debit,-25.0,18238.2,POS,917780,
2025-03-10,2025-03-10,ACH TUITION CATHEDRAL HTS 250310,Education,debit,-12000.0,6238.2,ACH,435857,
2025-03-10,2025-03-10,APPLE.COM/BILL ICLOUD,Software,debit,-9.99,6228.21,POS,254034,
2025-03-11,2025-03-11,PELOTON MEMBERSHIP,Health/Fitness,debit,-44.0,6184.21,POS,440996,
2025-03-12,2025-03-12,DISNEY PLUS,Streaming,debit,-15.99,6168.22,POS,474711,
2025-03-12,2025-03-12,ZELLE PMT TO SITTER PETTY CASH 702244,Transfer,debit,-178.96,5989.26,ACH,178294,
2025-03-12,2025-03-12,LE DIPLOMATE DC WASHINGTON DC 7741,Dining,debit,-218.4,5770.86,POS,610470,Washington DC
2025-03-13,2025-03-13,WMATA SMARTRIP RELOAD WASHINGTON DC 0448,Transportation,debit,-85.76,5685.1,POS,875950,Washington DC
2025-03-14,2025-03-14,LE DIPLOMATE DC REVERSAL 7741,Dining,credit,218.4,5903.5,POS,983051,Washington DC
2025-03-14,2025-03-14,EXXON 2200 NY AVE WASHINGTON DC 0264,Transportation,debit,-72.15,5831.35,POS,418516,Washington DC
2025-03-15,2025-03-15,DIR DEP DOJ NFC PAY PPD250315,Payroll,credit,4745.56,10576.91,ACH,973258,
2025-03-15,2025-03-15,DIR DEP POTOMAC GEN PAYROLL 250315,Payroll,credit,5727.85,16304.76,ACH,887545,
2025-03-15,2025-03-15,NIKE.COM WASHINGTON DC 4813,Shopping,debit,-121.51,16183.25,POS,640918,Washington DC
2025-03-17,2025-03-17,REI CO-OP DC WASHINGTON DC 9372,Shopping,debit,-23.36,16159.89,POS,186824,Washington DC
2025-03-21,2025-03-21,ACH PAYROLL CARRASCO-VEGA 250321,Household Payroll,debit,-1939.35,14220.54,ACH,947186,
2025-03-24,2025-03-24,AUTOPAY CAP ONE VENTURE 8841 250324,Credit Card Pmt,debit,-2288.8,11931.74,ACH,020969,
2025-03-27,2025-03-27,DISTRICT TACO 14TH ST WASHINGTON DC 6900,Dining,debit,-47.72,11884.02,POS,089343,Washington DC
2025-03-27,2025-03-27,WEST ELM 14TH ST WASHINGTON DC 7434,Shopping,debit,-85.53,11798.49,POS,380282,Washington DC
2025-03-31,2025-03-31,DIR DEP DOJ NFC PAY PPD250331,Payroll,credit,4745.56,16544.05,ACH,048183,
2025-03-31,2025-03-31,DIR DEP POTOMAC GEN PAYROLL 250331,Payroll,credit,5727.85,22271.9,ACH,078423,
2025-04-01,2025-04-01,ACH MORTGAGE FIRSTMERIDIAN LN0731 250401,Mortgage,debit,-4569.67,17702.23,ACH,916512,
2025-04-03,2025-04-03,PEPCO ENERGY BILLPAY APR-25,Utilities,debit,-256.54,17445.69,ACH,554038,
2025-04-03,2025-04-03,TARGET #2718 COLUMBIA HTS WASHINGTON DC 4999,Shopping,debit,-27.67,17418.02,POS,269272,Washington DC
2025-04-04,2025-04-04,WASHINGTON GAS BILLPAY APR-25,Utilities,debit,-96.0,17322.02,ACH,609474,
2025-04-05,2025-04-05,DC WATER BILLPAY APR-25,Utilities,debit,-109.75,17212.27,ACH,436974,
2025-04-06,2025-04-06,ACH PAYROLL CARRASCO-VEGA 250406,Household Payroll,debit,-1939.35,15272.92,ACH,696162,
2025-04-06,2025-04-06,VERIZON FIOS INTERNET APR-25,Utilities,debit,-89.99,15182.93,ACH,332509,
2025-04-06,2025-04-06,NIKE.COM WASHINGTON DC 8459,Shopping,debit,-22.08,15160.85,POS,386400,Washington DC
2025-04-07,2025-04-07,VERIZON WIRELESS PMT APR-25,Utilities,debit,-186.35,14974.5,ACH,325509,
2025-04-07,2025-04-07,NETFLIX.COM,Streaming,debit,-24.99,14949.51,POS,800810,
2025-04-08,2025-04-08,SPOTIFY USA FAMILY,Streaming,debit,-19.99,14929.52,POS,758741,
2025-04-09,2025-04-09,NYTIMES DIGITAL SUBSCR,News/Media,debit,-25.0,14904.52,POS,009271,
2025-04-09,2025-04-09,ATM WITHDRAWAL 14TH ST NW 1456,Cash,debit,-200.0,14704.52,ATM,469521,Washington DC
2025-04-10,2025-04-10,ACH TUITION CATHEDRAL HTS 250410,Education,debit,-12000.0,2704.52,ACH,565772,
2025-04-10,2025-04-10,APPLE.COM/BILL ICLOUD,Software,debit,-9.99,2694.53,POS,889254,
2025-04-11,2025-04-11,PELOTON MEMBERSHIP,Health/Fitness,debit,-44.0,2650.53,POS,865087,
2025-04-12,2025-04-12,DISNEY PLUS,Streaming,debit,-15.99,2634.54,POS,870455,
2025-04-15,2025-04-15,DIR DEP DOJ NFC PAY PPD250415,Payroll,credit,4745.56,7380.1,ACH,877346,
2025-04-15,2025-04-15,DIR DEP POTOMAC GEN PAYROLL 250415,Payroll,credit,5727.85,13107.95,ACH,050217,
2025-04-15,2025-04-15,JENIS ICE CREAM WASHINGTON DC 9855,Dining,debit,-110.68,12997.27,POS,115476,Washington DC
2025-04-15,2025-04-15,ZELLE PMT TO M OKAFOR 718936,Transfer,debit,-145.65,12851.62,ACH,532304,
2025-04-16,2025-04-16,TRANSFER TO MERIDIAN BRKG Z18 442042,Transfer/Investment,debit,-250.0,12601.62,ACH,572983,
2025-04-16,2025-04-16,LE DIPLOMATE DC WASHINGTON DC 4906,Dining,debit,-67.43,12534.19,POS,233858,Washington DC
2025-04-21,2025-04-21,ACH PAYROLL CARRASCO-VEGA 250421,Household Payroll,debit,-1939.35,10594.84,ACH,741399,
2025-04-24,2025-04-24,AUTOPAY CAP ONE VENTURE 8841 250424,Credit Card Pmt,debit,-2266.68,8328.16,ACH,012267,
2025-04-24,2025-04-24,LYFT RIDE WASHINGTON DC 4449,Transportation,debit,-24.67,8303.49,POS,696800,Washington DC
2025-04-26,2025-04-26,CVS/PHARMACY #04417 WASHINGTON DC 8645,Shopping,debit,-41.3,8262.19,POS,401346,Washington DC
2025-04-30,2025-04-30,DIR DEP DOJ NFC PAY PPD250430,Payroll,credit,4745.56,13007.75,ACH,945934,
2025-04-30,2025-04-30,DIR DEP POTOMAC GEN PAYROLL 250430,Payroll,credit,5727.85,18735.6,ACH,624598,
2025-05-01,2025-05-01,ACH MORTGAGE FIRSTMERIDIAN LN0731 250501,Mortgage,debit,-4569.67,14165.93,ACH,473539,
2025-05-03,2025-05-03,PEPCO ENERGY BILLPAY MAY-25,Utilities,debit,-226.76,13939.17,ACH,581998,
2025-05-04,2025-05-04,WASHINGTON GAS BILLPAY MAY-25,Utilities,debit,-62.0,13877.17,ACH,353095,
2025-05-04,2025-05-04,COMPASS COFFEE WASHINGTON DC 5765,Dining,debit,-56.95,13820.22,POS,229431,Washington DC
2025-05-05,2025-05-05,DC WATER BILLPAY MAY-25,Utilities,debit,-83.35,13736.87,ACH,653743,
2025-05-06,2025-05-06,ACH PAYROLL CARRASCO-VEGA 250506,Household Payroll,debit,-1939.35,11797.52,ACH,026759,
2025-05-06,2025-05-06,VERIZON FIOS INTERNET MAY-25,Utilities,debit,-89.99,11707.53,ACH,168590,
2025-05-07,2025-05-07,VERIZON WIRELESS PMT MAY-25,Utilities,debit,-198.36,11509.17,ACH,207161,
2025-05-07,2025-05-07,NETFLIX.COM,Streaming,debit,-24.99,11484.18,POS,092757,
2025-05-07,2025-05-07,SHELL OIL 14TH ST WASHINGTON DC 4130,Transportation,debit,-42.88,11441.3,POS,877230,Washington DC
2025-05-08,2025-05-08,SPOTIFY USA FAMILY,Streaming,debit,-19.99,11421.31,POS,559529,
2025-05-09,2025-05-09,NYTIMES DIGITAL SUBSCR,News/Media,debit,-25.0,11396.31,POS,739098,
2025-05-10,2025-05-10,TRANSFER FROM SAVINGS XXXXXX6620 351055,Transfer,credit,3000.0,14396.31,ACH,326854,
2025-05-10,2025-05-10,TRANSFER FROM SAVINGS XXXXXX6620 340113,Transfer,credit,12000.0,26396.31,ACH,245289,
2025-05-10,2025-05-10,ACH TUITION CATHEDRAL HTS 250510,Education,debit,-12000.0,14396.31,ACH,805215,
2025-05-10,2025-05-10,APPLE.COM/BILL ICLOUD,Software,debit,-9.99,14386.32,POS,876244,
2025-05-11,2025-05-11,PELOTON MEMBERSHIP,Health/Fitness,debit,-44.0,14342.32,POS,699900,
2025-05-12,2025-05-12,DISNEY PLUS,Streaming,debit,-15.99,14326.33,POS,258877,
2025-05-12,2025-05-12,EXXON 2200 NY AVE WASHINGTON DC 5171,Transportation,debit,-76.57,14249.76,POS,441508,Washington DC
2025-05-13,2025-05-13,JENIS ICE CREAM WASHINGTON DC 8109,Dining,debit,-82.87,14166.89,POS,251845,Washington DC
2025-05-14,2025-05-14,ZELLE PMT TO M OKAFOR 468754,Transfer,debit,-62.54,14104.35,ACH,044147,
2025-05-15,2025-05-15,DIR DEP DOJ NFC PAY PPD250515,Payroll,credit,4745.56,18849.91,ACH,456492,
2025-05-15,2025-05-15,DIR DEP POTOMAC GEN PAYROLL 250515,Payroll,credit,5727.85,24577.76,ACH,246780,
2025-05-19,2025-05-19,DISTRICT TACO 14TH ST WASHINGTON DC 3649,Dining,debit,-48.16,24529.6,POS,245700,Washington DC
2025-05-21,2025-05-21,ACH PAYROLL CARRASCO-VEGA 250521,Household Payroll,debit,-1939.35,22590.25,ACH,572175,
2025-05-24,2025-05-24,AUTOPAY CAP ONE VENTURE 8841 250524,Credit Card Pmt,debit,-3042.67,19547.58,ACH,036477,
2025-05-25,2025-05-25,TARGET #2718 COLUMBIA HTS WASHINGTON DC 8921,Shopping,debit,-110.31,19437.27,POS,681340,Washington DC
2025-05-31,2025-05-31,DIR DEP DOJ NFC PAY PPD250531,Payroll,credit,4745.56,24182.83,ACH,675829,
2025-05-31,2025-05-31,DIR DEP POTOMAC GEN PAYROLL 250531,Payroll,credit,5727.85,29910.68,ACH,664513,
2025-06-01,2025-06-01,ACH MORTGAGE FIRSTMERIDIAN LN0731 250601,Mortgage,debit,-4569.67,25341.01,ACH,583925,
2025-06-03,2025-06-03,PEPCO ENERGY BILLPAY JUN-25,Utilities,debit,-280.94,25060.07,ACH,695434,
2025-06-03,2025-06-03,HARRIS TEETER #0712 WASHINGTON DC 3233,Groceries,debit,-137.43,24922.64,POS,671828,Washington DC
2025-06-04,2025-06-04,WASHINGTON GAS BILLPAY JUN-25,Utilities,debit,-48.0,24874.64,ACH,674435,
2025-06-05,2025-06-05,DC WATER BILLPAY JUN-25,Utilities,debit,-101.2,24773.44,ACH,581884,
2025-06-06,2025-06-06,ACH PAYROLL CARRASCO-VEGA 250606,Household Payroll,debit,-1939.35,22834.09,ACH,116771,
2025-06-06,2025-06-06,VERIZON FIOS INTERNET JUN-25,Utilities,debit,-89.99,22744.1,ACH,680398,
2025-06-07,2025-06-07,VERIZON WIRELESS PMT JUN-25,Utilities,debit,-195.06,22549.04,ACH,327043,
2025-06-07,2025-06-07,NETFLIX.COM,Streaming,debit,-24.99,22524.05,POS,736751,
2025-06-08,2025-06-08,SPOTIFY USA FAMILY,Streaming,debit,-19.99,22504.06,POS,856390,
2025-06-08,2025-06-08,CAVA 14TH STREET WASHINGTON DC 4160,Dining,debit,-18.93,22485.13,POS,848894,Washington DC
2025-06-09,2025-06-09,NYTIMES DIGITAL SUBSCR,News/Media,debit,-25.0,22460.13,POS,058421,
2025-06-10,2025-06-10,APPLE.COM/BILL ICLOUD,Software,debit,-9.99,22450.14,POS,450116,
2025-06-11,2025-06-11,PELOTON MEMBERSHIP,Health/Fitness,debit,-44.0,22406.14,POS,524363,
2025-06-11,2025-06-11,CVS/PHARMACY #04417 WASHINGTON DC 2712,Shopping,debit,-61.41,22344.73,POS,991785,Washington DC
2025-06-12,2025-06-12,DISNEY PLUS,Streaming,debit,-15.99,22328.74,POS,694994,
2025-06-15,2025-06-15,DIR DEP DOJ NFC PAY PPD250615,Payroll,credit,4745.56,27074.3,ACH,107121,
2025-06-15,2025-06-15,DIR DEP POTOMAC GEN PAYROLL 250615,Payroll,credit,5727.85,32802.15,ACH,244652,
2025-06-16,2025-06-16,TRANSFER TO MERIDIAN BRKG Z18 509344,Transfer/Investment,debit,-250.0,32552.15,ACH,446734,
2025-06-17,2025-06-17,JENIS ICE CREAM WASHINGTON DC 7180,Dining,debit,-30.23,32521.92,POS,292852,Washington DC
2025-06-19,2025-06-19,TARGET #2718 COLUMBIA HTS WASHINGTON DC 7683,Shopping,debit,-74.55,32447.37,POS,963299,Washington DC
2025-06-20,2025-06-20,ATM WITHDRAWAL 14TH ST NW 0279,Cash,debit,-100.0,32347.37,ATM,368500,Washington DC
2025-06-21,2025-06-21,ACH PAYROLL CARRASCO-VEGA 250621,Household Payroll,debit,-1939.35,30408.02,ACH,358171,
2025-06-23,2025-06-23,ZELLE PMT TO M OKAFOR 979310,Transfer,debit,-76.95,30331.07,ACH,372643,
2025-06-24,2025-06-24,AUTOPAY CAP ONE VENTURE 8841 250624,Credit Card Pmt,debit,-2890.91,27440.16,ACH,203144,
2025-06-27,2025-06-27,&PIZZA LOGAN CIR WASHINGTON DC 9596,Dining,debit,-60.59,27379.57,POS,208922,Washington DC
2025-06-30,2025-06-30,DIR DEP DOJ NFC PAY PPD250630,Payroll,credit,4745.56,32125.13,ACH,175176,
2025-06-30,2025-06-30,DIR DEP POTOMAC GEN PAYROLL 250630,Payroll,credit,5727.85,37852.98,ACH,020351,
2025-07-01,2025-07-01,ACH MORTGAGE FIRSTMERIDIAN LN0731 250701,Mortgage,debit,-4569.67,33283.31,ACH,155125,
2025-07-03,2025-07-03,PEPCO ENERGY BILLPAY JUL-25,Utilities,debit,-243.57,33039.74,ACH,872815,
2025-07-04,2025-07-04,WASHINGTON GAS BILLPAY JUL-25,Utilities,debit,-46.0,32993.74,ACH,439095,
2025-07-04,2025-07-04,CVS/PHARMACY #04417 WASHINGTON DC 2131,Shopping,debit,-161.3,32832.44,POS,735204,Washington DC
2025-07-04,2025-07-04,CVS/PHARMACY #04417 WASHINGTON DC 8679,Shopping,debit,-126.98,32705.46,POS,301657,Washington DC
2025-07-05,2025-07-05,DC WATER BILLPAY JUL-25,Utilities,debit,-117.4,32588.06,ACH,992673,
2025-07-06,2025-07-06,ACH PAYROLL CARRASCO-VEGA 250706,Household Payroll,debit,-1939.35,30648.71,ACH,498622,
2025-07-06,2025-07-06,VERIZON FIOS INTERNET JUL-25,Utilities,debit,-89.99,30558.72,ACH,736674,
2025-07-07,2025-07-07,VERIZON WIRELESS PMT JUL-25,Utilities,debit,-186.99,30371.73,ACH,569880,
2025-07-07,2025-07-07,NETFLIX.COM,Streaming,debit,-24.99,30346.74,POS,218485,
2025-07-08,2025-07-08,SPOTIFY USA FAMILY,Streaming,debit,-19.99,30326.75,POS,201967,
2025-07-09,2025-07-09,NYTIMES DIGITAL SUBSCR,News/Media,debit,-25.0,30301.75,POS,961125,
2025-07-10,2025-07-10,APPLE.COM/BILL ICLOUD,Software,debit,-9.99,30291.76,POS,810176,
2025-07-11,2025-07-11,PELOTON MEMBERSHIP,Health/Fitness,debit,-44.0,30247.76,POS,180152,
2025-07-12,2025-07-12,DISNEY PLUS,Streaming,debit,-15.99,30231.77,POS,226699,
2025-07-12,2025-07-12,TARGET #2718 COLUMBIA HTS WASHINGTON DC 9439,Shopping,debit,-192.32,30039.45,POS,603080,Washington DC
2025-07-15,2025-07-15,DIR DEP DOJ NFC PAY PPD250715,Payroll,credit,4745.56,34785.01,ACH,577578,
2025-07-15,2025-07-15,DIR DEP POTOMAC GEN PAYROLL 250715,Payroll,credit,5727.85,40512.86,ACH,369437,
2025-07-18,2025-07-18,LYFT RIDE WASHINGTON DC 7034,Transportation,debit,-70.81,40442.05,POS,528967,Washington DC
2025-07-21,2025-07-21,ACH PAYROLL CARRASCO-VEGA 250721,Household Payroll,debit,-1939.35,38502.7,ACH,483241,
2025-07-22,2025-07-22,HARRIS TEETER #0712 WASHINGTON DC 8500,Groceries,debit,-212.12,38290.58,POS,930216,Washington DC
2025-07-23,2025-07-23,WHOLE FOODS MKT #10234 WASHINGTON DC 2718,Groceries,debit,-24.36,38266.22,POS,917695,Washington DC
2025-07-24,2025-07-24,AUTOPAY CAP ONE VENTURE 8841 250724,Credit Card Pmt,debit,-2913.85,35352.37,ACH,749987,
2025-07-24,2025-07-24,ZELLE PMT TO SITTER PETTY CASH 135023,Transfer,debit,-168.53,35183.84,ACH,645797,
2025-07-31,2025-07-31,DIR DEP DOJ NFC PAY PPD250731,Payroll,credit,4745.56,39929.4,ACH,599453,
2025-07-31,2025-07-31,DIR DEP POTOMAC GEN PAYROLL 250731,Payroll,credit,5727.85,45657.25,ACH,821363,
2025-08-01,2025-08-01,ACH MORTGAGE FIRSTMERIDIAN LN0731 250801,Mortgage,debit,-4569.67,41087.58,ACH,636554,
2025-08-03,2025-08-03,PEPCO ENERGY BILLPAY AUG-25,Utilities,debit,-259.13,40828.45,ACH,605342,
2025-08-04,2025-08-04,WASHINGTON GAS BILLPAY AUG-25,Utilities,debit,-49.0,40779.45,ACH,316771,
2025-08-05,2025-08-05,DC WATER BILLPAY AUG-25,Utilities,debit,-114.1,40665.35,ACH,647812,
2025-08-06,2025-08-06,ACH PAYROLL CARRASCO-VEGA 250806,Household Payroll,debit,-1939.35,38726.0,ACH,559673,
2025-08-06,2025-08-06,VERIZON FIOS INTERNET AUG-25,Utilities,debit,-89.99,38636.01,ACH,692232,
2025-08-07,2025-08-07,VERIZON WIRELESS PMT AUG-25,Utilities,debit,-188.55,38447.46,ACH,048820,
2025-08-07,2025-08-07,NETFLIX.COM,Streaming,debit,-24.99,38422.47,POS,122737,
2025-08-07,2025-08-07,WMATA SMARTRIP RELOAD WASHINGTON DC 2497,Transportation,debit,-33.79,38388.68,POS,153531,Washington DC
2025-08-08,2025-08-08,SPOTIFY USA FAMILY,Streaming,debit,-19.99,38368.69,POS,515408,
2025-08-09,2025-08-09,NYTIMES DIGITAL SUBSCR,News/Media,debit,-25.0,38343.69,POS,566445,
2025-08-09,2025-08-09,WALGREENS #6621 WASHINGTON DC 5666,Shopping,debit,-208.34,38135.35,POS,973388,Washington DC
2025-08-09,2025-08-09,WMATA SMARTRIP RELOAD WASHINGTON DC 8627,Transportation,debit,-99.48,38035.87,POS,362546,Washington DC
2025-08-10,2025-08-10,ACH TUITION CATHEDRAL HTS 250810,Education,debit,-12000.0,26035.87,ACH,689749,
2025-08-10,2025-08-10,APPLE.COM/BILL ICLOUD,Software,debit,-9.99,26025.88,POS,001925,
2025-08-11,2025-08-11,PELOTON MEMBERSHIP,Health/Fitness,debit,-44.0,25981.88,POS,455583,
2025-08-11,2025-08-11,ATM WITHDRAWAL 14TH ST NW 2141,Cash,debit,-200.0,25781.88,ATM,861388,Washington DC
2025-08-12,2025-08-12,DISNEY PLUS,Streaming,debit,-15.99,25765.89,POS,480270,
2025-08-14,2025-08-14,ZELLE PMT TO SITTER PETTY CASH 522627,Transfer,debit,-76.31,25689.58,ACH,547381,
2025-08-15,2025-08-15,DIR DEP DOJ NFC PAY PPD250815,Payroll,credit,4745.56,30435.14,ACH,897720,
2025-08-15,2025-08-15,DIR DEP POTOMAC GEN PAYROLL 250815,Payroll,credit,5727.85,36162.99,ACH,135232,
