date,description,amount
2026-03-14,NORTHSTAR CAFE,-19.85
2026-03-18,DOORDASH ORDER,-33.10
2026-03-08,SHELL OIL 5712,-40.10
2026-03-17,MARATHON GAS 88,-37.55
2026-03-09,AMAZON.COM ORDER,-24.90
2026-03-14,TARGET 00012947 COLUMBUS,-61.75
2026-03-19,CVS PHARMACY 4471,-17.20
2026-03-11,MINT MOBILE WIRELESS,-30.00
2026-03-24,CITY OF COLUMBUS UTILITIES,-47.50
2026-03-26,FIDELITY INVESTMENTS TRANSFER,-300.00
2026-03-27,MOHELA STUDENT LN PMT,-95.00
2026-03-05,CHASE CREDIT CRD AUTOPAY 8842,-598.04
2026-03-29,NORTHSTAR PIXEL STUDIO PAYROLL,3451.80
2026-03-31,HUNTINGTON SAVINGS INTEREST,6.18
2026-04-01,BROAD STREET APTS RENT,-1450.00
2026-04-01,SPECTRUM INTERNET,-70.00
2026-04-02,AEP OHIO ELECTRIC,-68.40
2026-04-03,COLUMBIA GAS OF OHIO,-41.10
2026-04-03,SPOTIFY USA,-11.99
2026-04-04,NETFLIX.COM,-15.49
2026-04-05,HBO MAX,-16.99
2026-04-06,ICLOUD+ STORAGE,-2.99
2026-04-07,ADOBE CREATIVE CLOUD,-54.99
2026-04-08,FIGMA.COM SUBSCRIPTION,-15.00
2026-04-09,NYTIMES DIGITAL,-17.00
2026-04-10,AMAZON PRIME MEMBERSHIP,-14.99
2026-04-11,PELOTON DIGITAL APP,-12.99
2026-04-12,NOTION LABS,-10.00
2026-04-13,YNAB BUDGETING APP,-14.99
2026-04-14,ROCKET MONEY PREMIUM,-12.00
2026-04-15,MONARCH MONEY,-14.99
2026-04-16,COPILOT MONEY SUBSCRIPTION,-13.00
2026-04-17,POCKETGUARD PLUS,-12.99
2026-04-18,GOODBUDGET SUBSCRIPTION,-8.00
2026-04-04,KROGER #0345 COLUMBUS,-77.25
2026-04-09,TRADER JOES #534,-49.90
2026-04-14,KROGER #0345 COLUMBUS,-38.65
2026-04-19,TRADER JOES #534,-63.21
2026-04-06,CHIPOTLE 2244,-13.40
2026-04-10,STARBUCKS STORE 1123,-8.05
2026-04-14,NORTHSTAR CAFE,-24.30
2026-04-18,DOORDASH ORDER,-29.60
2026-04-08,SHELL OIL 5712,-39.40
2026-04-17,MARATHON GAS 88,-41.60
2026-04-09,AMAZON.COM ORDER,-29.80
2026-04-14,TARGET 00012947 COLUMBUS,-64.10
2026-04-19,CVS PHARMACY 4471,-19.55
2026-04-11,MINT MOBILE WIRELESS,-30.00
2026-04-24,CITY OF COLUMBUS UTILITIES,-47.50
2026-04-26,FIDELITY INVESTMENTS TRANSFER,-300.00
2026-04-27,MOHELA STUDENT LN PMT,-95.00
2026-04-05,CHASE CREDIT CRD AUTOPAY 8842,-556.79
2026-04-29,NORTHSTAR PIXEL STUDIO PAYROLL,3451.80
2026-04-30,HUNTINGTON SAVINGS INTEREST,6.40
2026-05-01,BROAD STREET APTS RENT,-1450.00
2026-05-01,SPECTRUM INTERNET,-70.00
2026-05-02,AEP OHIO ELECTRIC,-84.16
2026-05-03,COLUMBIA GAS OF OHIO,-39.20
2026-05-03,SPOTIFY USA,-11.99
2026-05-04,NETFLIX.COM,-15.49
2026-05-05,HBO MAX,-16.99
2026-05-06,ICLOUD+ STORAGE,-2.99
2026-05-07,ADOBE CREATIVE CLOUD,-54.99
2026-05-08,FIGMA.COM SUBSCRIPTION,-15.00
2026-05-09,NYTIMES DIGITAL,-17.00
2026-05-10,AMAZON PRIME MEMBERSHIP,-14.99
2026-05-11,PELOTON DIGITAL APP,-12.99
2026-05-12,NOTION LABS,-10.00
2026-05-13,YNAB BUDGETING APP,-14.99
2026-05-14,ROCKET MONEY PREMIUM,-12.00
2026-05-15,MONARCH MONEY,-14.99
2026-05-16,COPILOT MONEY SUBSCRIPTION,-13.00
2026-05-17,POCKETGUARD PLUS,-12.99
2026-05-18,GOODBUDGET SUBSCRIPTION,-8.00
2026-05-03,FIGMA.COM SUBSCRIPTION,-15.00
2026-05-05,FIGMA.COM REVERSAL - DUPLICATE,15.00
2026-05-04,KROGER #0345 COLUMBUS,-78.43
2026-05-09,TRADER JOES #534,-52.10
2026-05-14,KROGER #0345 COLUMBUS,-41.27
2026-05-19,TRADER JOES #534,-36.85
2026-05-06,CHIPOTLE 2244,-12.85
2026-05-10,STARBUCKS STORE 1123,-6.45
2026-05-14,NORTHSTAR CAFE,-24.30
2026-05-18,DOORDASH ORDER,-33.60
2026-05-08,SHELL OIL 5712,-38.40
2026-05-17,MARATHON GAS 88,-34.90
2026-05-09,AMAZON.COM ORDER,-27.43
2026-05-14,TARGET 00012947 COLUMBUS,-63.21
2026-05-19,CVS PHARMACY 4471,-18.76
2026-05-11,MINT MOBILE WIRELESS,-30.00
2026-05-24,CITY OF COLUMBUS UTILITIES,-47.50
2026-05-26,FIDELITY INVESTMENTS TRANSFER,-300.00
2026-05-27,MOHELA STUDENT LN PMT,-95.00
2026-05-05,CHASE CREDIT CRD AUTOPAY 8842,-591.18
2026-05-29,NORTHSTAR PIXEL STUDIO PAYROLL,3451.80
2026-05-31,HUNTINGTON SAVINGS INTEREST,7.08
