date,description,amount
2025-04-06,ALLIANT ENERGY UTILITY,-108.00
2025-04-06,DBQ WATER & RES RECOVERY,-48.00
2025-04-07,NETFLIX.COM,-15.49
2025-04-08,MEDIACOM CABLE INTERNET,-89.99
2025-04-08,DOLLAR GENERAL 4471,-100.55
2025-04-09,CONSUMER CELLULAR,-42.00
2025-04-10,AMERICAN FAMILY INS HOME,-98.00
2025-04-11,AMAZON PRIME MEMBERSHIP,-14.99
2025-04-12,ST COLUMBKILLE CHURCH DONATION,-100.00
2025-04-13,HY-VEE FAST&FRESH DUBUQUE,-103.55
2025-04-14,PHOTOVAULT CLOUD STORAGE,-9.99
2025-04-15,SENTRY ID PROTECT MONTHLY,-19.99
2025-04-16,WALGREENS 5512 DUBUQUE,-31.20
2025-04-18,SIRIUSXM RADIO SVC,-23.99
2025-04-20,KWIK STAR #112 DUBUQUE,-29.88
2025-04-21,CARQUEST AUTO PARTS,-98.32
2025-04-22,JITTERZ COFFEE DUBUQUE,-34.20
2025-04-23,MISSISSIPPI RIVER MUSEUM,-41.17
2025-04-24,SAMS CLUB 6418 DUBUQUE,-88.13
2025-04-26,AMAZON MKTPLACE PURCHASE,-16.88
2025-04-27,TRANSFER TO SAVINGS XXXX2210,-300.00
2025-05-01,IPERS PENSION DIRECT DEP,2280.00
2025-05-02,MUTUAL OF OMAHA MEDSUPP,-182.00
2025-05-02,WELLCARE PART D RX PLAN,-38.00
2025-05-03,RRB ANNUITY PAYMENT ACH,1330.00
2025-05-04,HY-VEE #1224 DUBUQUE IA,-88.13
2025-05-05,VANGUARD IRA DISTRIBUTION ACH,900.00
2025-05-06,ALLIANT ENERGY UTILITY,-95.00
2025-05-06,DBQ WATER & RES RECOVERY,-48.00
2025-05-07,NETFLIX.COM,-15.49
2025-05-08,MEDIACOM CABLE INTERNET,-89.99
2025-05-09,CONSUMER CELLULAR,-42.00
2025-05-10,AMERICAN FAMILY INS HOME,-98.00
2025-05-11,AMAZON PRIME MEMBERSHIP,-14.99
2025-05-11,STELLA & DOT BOUTIQUE,-21.71
2025-05-12,ST COLUMBKILLE CHURCH DONATION,-100.00
2025-05-13,HY-VEE FAST&FRESH DUBUQUE,-95.31
2025-05-13,HY-VEE #1224 DUBUQUE IA,-88.13
2025-05-14,PHOTOVAULT CLOUD STORAGE,-9.99
2025-05-15,REVERSAL HY-VEE #1224 DUPLICATE,88.13
2025-05-15,SENTRY ID PROTECT MONTHLY,-19.99
2025-05-16,WALGREENS 5512 DUBUQUE,-42.75
2025-05-18,SIRIUSXM RADIO SVC,-23.99
2025-05-20,CASEY'S 3382 DUBUQUE,-31.40
2025-05-21,DUBUQUE SYMPHONY TICKETS,-62.54
2025-05-22,CULVERS NW ARTERIAL,-22.60
2025-05-24,ALDI 64 DUBUQUE IA,-103.55
2025-05-25,DOLLAR GENERAL 4471,-127.30
2025-05-26,AMAZON MKTPLACE PURCHASE,-67.30
2025-06-01,IPERS PENSION DIRECT DEP,2280.00
2025-06-02,MUTUAL OF OMAHA MEDSUPP,-182.00
2025-06-02,WELLCARE PART D RX PLAN,-38.00
2025-06-03,RRB ANNUITY PAYMENT ACH,1330.00
2025-06-04,FAREWAY STORES DUBUQUE,-103.55
2025-06-05,VANGUARD IRA DISTRIBUTION ACH,900.00
2025-06-06,ALLIANT ENERGY UTILITY,-101.00
2025-06-06,DBQ WATER & RES RECOVERY,-48.00
2025-06-07,NETFLIX.COM,-15.49
2025-06-08,MEDIACOM CABLE INTERNET,-89.99
2025-06-09,CONSUMER CELLULAR,-42.00
2025-06-10,AMERICAN FAMILY INS HOME,-98.00
2025-06-11,AMAZON PRIME MEMBERSHIP,-14.99
2025-06-12,ST COLUMBKILLE CHURCH DONATION,-100.00
2025-06-13,ALDI 64 DUBUQUE IA,-117.06
2025-06-14,PHOTOVAULT CLOUD STORAGE,-9.99
2025-06-15,SENTRY ID PROTECT MONTHLY,-19.99
2025-06-16,CVS 8841 DUBUQUE,-31.20
2025-06-17,MISSISSIPPI RIVER MUSEUM,-69.63
2025-06-18,SIRIUSXM RADIO SVC,-23.99
2025-06-20,KWIK STAR #112 DUBUQUE,-31.40
2025-06-21,SUPERCUTS NW ARTERIAL,-45.00
2025-06-22,DUBUQUE DINER,-27.80
2025-06-23,MENARDS DUBUQUE,-89.62
2025-06-24,SAMS CLUB 6418 DUBUQUE,-49.92
2025-06-26,AMAZON MKTPLACE PURCHASE,-67.30
2025-07-01,IPERS PENSION DIRECT DEP,2280.00
2025-07-02,MUTUAL OF OMAHA MEDSUPP,-182.00
2025-07-02,WELLCARE PART D RX PLAN,-38.00
2025-07-03,RRB ANNUITY PAYMENT ACH,1330.00
2025-07-04,HY-VEE #1224 DUBUQUE IA,-117.06
2025-07-05,VANGUARD IRA DISTRIBUTION ACH,900.00
2025-07-06,ALLIANT ENERGY UTILITY,-95.00
2025-07-06,DBQ WATER & RES RECOVERY,-48.00
2025-07-07,NETFLIX.COM,-15.49
2025-07-08,MEDIACOM CABLE INTERNET,-89.99
2025-07-08,GREAT CLIPS ASBURY,-77.40
2025-07-09,CONSUMER CELLULAR,-42.00
2025-07-10,AMERICAN FAMILY INS HOME,-98.00
2025-07-11,AMAZON PRIME MEMBERSHIP,-14.99
2025-07-12,ST COLUMBKILLE CHURCH DONATION,-100.00
2025-07-13,FAREWAY STORES DUBUQUE,-64.77
2025-07-14,PHOTOVAULT CLOUD STORAGE,-9.99
2025-07-15,SENTRY ID PROTECT MONTHLY,-19.99
2025-07-16,MEDICAP PHARMACY ASBURY,-31.20
2025-07-17,DR PATEL DENTAL COPAY,-96.88
2025-07-18,SIRIUSXM RADIO SVC,-23.99
2025-07-19,DOLLAR GENERAL 4471,-55.58
2025-07-20,CASEY'S 3382 DUBUQUE,-29.88
2025-07-22,JITTERZ COFFEE DUBUQUE,-34.20
2025-07-24,ALDI 64 DUBUQUE IA,-88.13
2025-07-26,AMAZON MKTPLACE PURCHASE,-52.04
2025-07-27,TRANSFER TO SAVINGS XXXX2210,-300.00
2025-08-01,IPERS PENSION DIRECT DEP,2280.00
2025-08-02,MUTUAL OF OMAHA MEDSUPP,-182.00
2025-08-02,WELLCARE PART D RX PLAN,-38.00
2025-08-03,RRB ANNUITY PAYMENT ACH,1330.00
2025-08-04,ALDI 64 DUBUQUE IA,-103.55
2025-08-05,VANGUARD IRA DISTRIBUTION ACH,900.00
2025-08-06,ALLIANT ENERGY UTILITY,-165.00
2025-08-06,DBQ WATER & RES RECOVERY,-48.00
2025-08-07,NETFLIX.COM,-15.49
2025-08-08,MEDIACOM CABLE INTERNET,-89.99
2025-08-09,CONSUMER CELLULAR,-42.00
2025-08-10,AMERICAN FAMILY INS HOME,-98.00
2025-08-11,AMAZON PRIME MEMBERSHIP,-14.99
2025-08-12,ST COLUMBKILLE CHURCH DONATION,-100.00
2025-08-13,TARGET T-2189 DUBUQUE,-58.21
2025-08-14,PHOTOVAULT CLOUD STORAGE,-9.99
2025-08-15,SENTRY ID PROTECT MONTHLY,-19.99
2025-08-16,CVS 8841 DUBUQUE,-42.75
2025-08-18,SIRIUSXM RADIO SVC,-23.99
2025-08-19,STEVES ACE HARDWARE,-98.10
2025-08-20,KWIK STAR #112 DUBUQUE,-42.55
2025-08-21,BARNES & NOBLE KENNEDY,-65.95
2025-08-22,L MAY EATERY DUBUQUE,-22.60
2025-08-24,WALMART SC #1546 DUBUQUE,-103.55
2025-08-25,GREAT CLIPS ASBURY,-40.74
2025-08-26,AMAZON MKTPLACE PURCHASE,-23.49
2025-09-01,IPERS PENSION DIRECT DEP,2280.00
2025-09-02,MUTUAL OF OMAHA MEDSUPP,-182.00
2025-09-02,WELLCARE PART D RX PLAN,-38.00
2025-09-03,RRB ANNUITY PAYMENT ACH,1330.00
2025-09-04,FAREWAY STORES DUBUQUE,-117.06
2025-09-05,VANGUARD IRA DISTRIBUTION ACH,900.00
2025-09-06,ALLIANT ENERGY UTILITY,-132.00
2025-09-06,DBQ WATER & RES RECOVERY,-48.00
2025-09-07,NETFLIX.COM,-15.49
2025-09-08,MEDIACOM CABLE INTERNET,-89.99
2025-09-09,CONSUMER CELLULAR,-42.00
2025-09-10,AMERICAN FAMILY INS HOME,-98.00
2025-09-11,AMAZON PRIME MEMBERSHIP,-14.99
2025-09-11,DR PATEL DENTAL COPAY,-30.87
2025-09-12,ST COLUMBKILLE CHURCH DONATION,-100.00
2025-09-13,FAREWAY STORES DUBUQUE,-72.40
2025-09-14,PHOTOVAULT CLOUD STORAGE,-9.99
2025-09-15,SENTRY ID PROTECT MONTHLY,-19.99
2025-09-16,CVS 8841 DUBUQUE,-38.40
2025-09-18,SIRIUSXM RADIO SVC,-23.99
2025-09-19,STELLA & DOT BOUTIQUE,-87.02
2025-09-20,CASEY'S 3382 DUBUQUE,-31.40
2025-09-22,MAGOO'S PIZZA DUBUQUE,-22.60
2025-09-23,JOANN FABRICS 1924,-125.67
2025-09-24,FAREWAY STORES DUBUQUE,-95.31
2025-09-26,AMAZON MKTPLACE PURCHASE,-12.75
2025-09-28,CITY OF DUBUQUE PROPERTY TAX,-1180.00
2025-10-01,IPERS PENSION DIRECT DEP,2280.00
2025-10-02,MUTUAL OF OMAHA MEDSUPP,-182.00
2025-10-02,WELLCARE PART D RX PLAN,-38.00
2025-10-03,RRB ANNUITY PAYMENT ACH,1330.00
2025-10-04,ALDI 64 DUBUQUE IA,-72.40
2025-10-05,VANGUARD IRA DISTRIBUTION ACH,900.00
2025-10-06,ALLIANT ENERGY UTILITY,-95.00
2025-10-06,DBQ WATER & RES RECOVERY,-48.00
2025-10-07,NETFLIX.COM,-15.49
2025-10-08,MEDIACOM CABLE INTERNET,-89.99
2025-10-08,DR PATEL DENTAL COPAY,-23.68
2025-10-09,CONSUMER CELLULAR,-42.00
2025-10-10,AMERICAN FAMILY INS HOME,-98.00
2025-10-11,AMAZON PRIME MEMBERSHIP,-14.99
2025-10-12,ST COLUMBKILLE CHURCH DONATION,-100.00
2025-10-13,HY-VEE #1224 DUBUQUE IA,-95.31
2025-10-14,PHOTOVAULT CLOUD STORAGE,-9.99
2025-10-15,SENTRY ID PROTECT MONTHLY,-19.99
2025-10-16,WALGREENS 5512 DUBUQUE,-38.40
2025-10-17,PETS PLAYGROUND VET CLINIC,-42.98
2025-10-17,PRECISION HEATING & AC SVC,-214.00
2025-10-18,SIRIUSXM RADIO SVC,-23.99
2025-10-19,GREAT CLIPS ASBURY,-87.40
2025-10-20,KWIK STAR #345 DUBUQUE,-29.88
2025-10-22,JITTERZ COFFEE DUBUQUE,-18.45
2025-10-24,TARGET T-2189 DUBUQUE,-72.40
2025-10-26,AMAZON MKTPLACE PURCHASE,-23.49
2025-10-27,TRANSFER TO SAVINGS XXXX2210,-300.00
2025-11-01,IPERS PENSION DIRECT DEP,2280.00
2025-11-02,MUTUAL OF OMAHA MEDSUPP,-182.00
2025-11-02,WELLCARE PART D RX PLAN,-38.00
2025-11-03,RRB ANNUITY PAYMENT ACH,1330.00
2025-11-04,WALMART SC #1546 DUBUQUE,-103.55
2025-11-05,VANGUARD IRA DISTRIBUTION ACH,900.00
2025-11-06,ALLIANT ENERGY UTILITY,-123.00
2025-11-06,DBQ WATER & RES RECOVERY,-48.00
2025-11-07,NETFLIX.COM,-15.49
2025-11-08,MEDIACOM CABLE INTERNET,-89.99
2025-11-08,MENARDS DUBUQUE,-56.17
2025-11-09,CONSUMER CELLULAR,-42.00
2025-11-10,AMERICAN FAMILY INS HOME,-98.00
2025-11-11,AMAZON PRIME MEMBERSHIP,-14.99
2025-11-12,ST COLUMBKILLE CHURCH DONATION,-100.00
2025-11-13,SAMS CLUB 6418 DUBUQUE,-49.92
2025-11-14,PHOTOVAULT CLOUD STORAGE,-9.99
2025-11-15,SENTRY ID PROTECT MONTHLY,-19.99
2025-11-16,MEDICAP PHARMACY ASBURY,-42.75
2025-11-18,SIRIUSXM RADIO SVC,-23.99
2025-11-20,BP ASBURY RD DUBUQUE,-38.02
2025-11-22,JITTERZ COFFEE DUBUQUE,-41.05
2025-11-23,DUBUQUE SYMPHONY TICKETS,-76.94
2025-11-24,WALMART SC #1546 DUBUQUE,-58.21
2025-11-25,DR PATEL DENTAL COPAY,-111.13
2025-11-26,AMAZON MKTPLACE PURCHASE,-16.88
2025-12-01,IPERS PENSION DIRECT DEP,2280.00
2025-12-02,MUTUAL OF OMAHA MEDSUPP,-182.00
2025-12-02,WELLCARE PART D RX PLAN,-38.00
2025-12-03,RRB ANNUITY PAYMENT ACH,1330.00
2025-12-04,TARGET T-2189 DUBUQUE,-103.55
2025-12-05,VANGUARD IRA DISTRIBUTION ACH,900.00
2025-12-06,ALLIANT ENERGY UTILITY,-99.00
2025-12-06,DBQ WATER & RES RECOVERY,-48.00
2025-12-07,NETFLIX.COM,-15.49
2025-12-08,MEDIACOM CABLE INTERNET,-89.99
2025-12-09,CONSUMER CELLULAR,-42.00
2025-12-10,AMERICAN FAMILY INS HOME,-98.00
2025-12-11,AMAZON PRIME MEMBERSHIP,-14.99
2025-12-12,ST COLUMBKILLE CHURCH DONATION,-100.00
2025-12-13,WALMART SC #1546 DUBUQUE,-58.21
2025-12-14,PHOTOVAULT CLOUD STORAGE,-9.99
2025-12-15,SENTRY ID PROTECT MONTHLY,-19.99
2025-12-16,WALGREENS 5512 DUBUQUE,-42.75
2025-12-17,CARQUEST AUTO PARTS,-68.48
2025-12-18,SIRIUSXM RADIO SVC,-23.99
2025-12-20,BP ASBURY RD DUBUQUE,-29.88
2025-12-21,MERCY URGENT CARE COPAY,-115.42
2025-12-22,L MAY EATERY DUBUQUE,-34.20
2025-12-23,SUPERCUTS NW ARTERIAL,-18.92
2025-12-24,SAMS CLUB 6418 DUBUQUE,-103.55
2025-12-26,AMAZON MKTPLACE PURCHASE,-41.12
