posting_date,transaction_date,description,merchant_category,type,amount,running_balance,check_number,reference_id,channel
2025-02-11,2025-02-11,DEPOSIT TRI-RIVERS LIVESTOCK AUCTION — CATTLE,Farm income,Credit,14900.00,43154.22,,FCB3402177926,DEP
2025-02-12,2025-02-12,WEST KY RECC — HOME ELECTRIC,Home utilities,Debit,-167.41,42986.81,,FCB8027840657,ACH
2025-02-14,2025-02-14,ACH MCCRACKEN CO SCHOOLS — PAYROLL,Payroll,Credit,1050.47,44037.28,,FCB5141816928,ACH
2025-02-14,2025-02-14,ALDI PADUCAH,Groceries,Debit,-232.78,43804.50,,FCB2480788376,POS
2025-02-14,2025-02-14,TRI-STATE EQUIPMENT — REPAIR/PARTS,Farm expense,Debit,-2140.99,41663.51,,FCB2292877852,POS
2025-02-16,2025-02-16,WEST KY RECC / PROPANE — FARM,Farm expense,Debit,-522.68,41140.83,,FCB6748217977,ACH
2025-02-20,2025-02-20,MARATHON OAK LEVEL,Auto fuel,Debit,-46.57,41094.26,,FCB9251891626,POS
2025-02-20,2025-02-20,WALMART SUPERCENTER,Groceries,Debit,-236.05,40858.21,,FCB7427742066,POS
2025-02-22,2025-02-22,CIRCLE K,Auto fuel,Debit,-70.95,40787.26,,FCB2406747720,POS
2025-02-22,2025-02-22,CVS PHARMACY,Health,Debit,-78.23,40709.03,,FCB1089225047,POS
2025-02-22,2025-02-22,PADUCAH WATER / MEDIACOM INTERNET,Home utilities,Debit,-153.12,40555.91,,FCB2950090349,ACH
2025-02-24,2025-02-24,WALGREENS PHARMACY,Health,Debit,-69.11,40486.80,,FCB4303035115,POS
2025-02-25,2025-02-25,BAPTIST HEALTH PADUCAH,Health,Debit,-135.86,40350.94,,FCB9819963397,POS
2025-02-25,2025-02-25,OWNER DRAW / ATM — HARTWELL FAMILY,Owner draw,Debit,-1020.87,39330.07,,FCB7589242699,ATM
2025-02-25,2025-02-25,SAVE-A-LOT,Groceries,Debit,-178.76,39151.31,,FCB6545896620,POS
2025-02-26,2025-02-26,BLUEGRASS FEED & SUPPLY,Farm expense,Debit,-6292.22,32859.09,,FCB6340492676,POS
2025-02-26,2025-02-26,SHELL PADUCAH,Auto fuel,Debit,-55.44,32803.65,,FCB6453542465,POS
2025-02-28,2025-02-28,ACH MCCRACKEN CO SCHOOLS — PAYROLL,Payroll,Credit,1050.47,33854.12,,FCB6085475458,ACH
2025-03-01,2025-03-01,ACH PADUCAH BANK — MORTGAGE PMT,Mortgage,Debit,-585.00,33269.12,,FCB1881495452,ACH
2025-03-01,2025-03-01,R. MAYFIELD — CROPLAND CASH RENT,Farm expense,Debit,-3481.40,29787.72,1846,FCB9885106418,CHECK
2025-03-02,2025-03-02,HARTLEY & ASSOC — FARM ACCOUNTING,Farm expense,Debit,-1100.00,28687.72,,FCB3467695601,POS
2025-03-02,2025-03-02,OPERATING LINE — INTEREST CHARGE,Interest,Debit,-325.83,28361.89,,FCB9529614896,FEE
2025-03-02,2025-03-02,WALMART SUPERCENTER,Groceries,Debit,-182.55,28179.34,,FCB8637376468,POS
2025-03-03,2025-03-03,OPERATING LINE ADVANCE,LOC advance,Credit,12000.00,40179.34,,FCB3468637902,ACH
2025-03-05,2025-03-05,ACH FARM CREDIT MID-AMERICA — EQUIP LOAN,Loan payment,Debit,-1145.74,39033.60,,FCB1551116291,ACH
2025-03-05,2025-03-05,DEPOSIT FEEDER CATTLE RESALE,Farm income,Credit,8400.00,47433.60,,FCB6047418499,DEP
2025-03-05,2025-03-05,KROGER PADUCAH,Groceries,Debit,-153.07,47280.53,,FCB5926808875,POS
2025-03-05,2025-03-05,NETFLIX / DISNEY+ / SPOTIFY,Subscriptions,Debit,-46.97,47233.56,,FCB7911049671,ACH
2025-03-06,2025-03-06,VENMO — CALEB (COLLEGE SPENDING),College,Debit,-266.16,46967.40,,FCB9173570293,ACH
2025-03-07,2025-03-07,TRACTOR SUPPLY CO,Retail,Debit,-42.90,46924.50,,FCB6267951107,POS
2025-03-07,2025-03-07,WALGREENS PHARMACY,Health,Debit,-52.08,46872.42,,FCB6657847724,POS
2025-03-08,2025-03-08,VERIZON WIRELESS,Phone,Debit,-188.45,46683.97,,FCB1909994274,ACH
2025-03-12,2025-03-12,SOUTHERN STATES CO-OP — FERTILIZER/LIME,Farm expense,Debit,-9478.82,37205.15,,FCB9210622470,POS
2025-03-12,2025-03-12,WALMART SUPERCENTER,Groceries,Debit,-200.26,37004.89,,FCB4035591246,POS
2025-03-12,2025-03-12,WEST KY RECC — HOME ELECTRIC,Home utilities,Debit,-189.48,36815.41,,FCB4270315306,ACH
2025-03-14,2025-03-14,ACH MCCRACKEN CO SCHOOLS — PAYROLL,Payroll,Credit,1050.47,37865.88,,FCB6044744647,ACH
2025-03-14,2025-03-14,LOWE'S PADUCAH,Retail,Debit,-110.27,37755.61,,FCB4686651897,POS
2025-03-15,2025-03-15,HUCK'S #21,Auto fuel,Debit,-63.15,37692.46,,FCB9402659745,POS
2025-03-15,2025-03-15,TRACTOR SUPPLY CO,Retail,Debit,-170.40,37522.06,,FCB5735625081,POS
2025-03-16,2025-03-16,WEST KY RECC / PROPANE — FARM,Farm expense,Debit,-481.20,37040.86,,FCB5686899402,ACH
2025-03-17,2025-03-17,KROGER PADUCAH,Groceries,Debit,-178.06,36862.80,,FCB6634043132,POS
2025-03-17,2025-03-17,WALGREENS PHARMACY,Health,Debit,-90.45,36772.35,,FCB2582854156,POS
2025-03-18,2025-03-18,CIRCLE K,Auto fuel,Debit,-58.77,36713.58,,FCB2786444766,POS
2025-03-20,2025-03-20,DEPOSIT WEST KY HAY & FORAGE,Farm income,Credit,6100.00,42813.58,,FCB6481279796,DEP
2025-03-21,2025-03-21,BAPTIST HEALTH PADUCAH,Health,Debit,-193.64,42619.94,,FCB7188566918,POS
2025-03-22,2025-03-22,PADUCAH WATER / MEDIACOM INTERNET,Home utilities,Debit,-138.79,42481.15,,FCB5951806290,ACH
2025-03-23,2025-03-23,SAVE-A-LOT,Groceries,Debit,-169.79,42311.36,,FCB8178699154,POS
2025-03-23,2025-03-23,SHELL PADUCAH,Auto fuel,Debit,-67.26,42244.10,,FCB1357188005,POS
2025-03-25,2025-03-25,OWNER DRAW / ATM — HARTWELL FAMILY,Owner draw,Debit,-1020.87,41223.23,,FCB6015337345,ATM
2025-03-26,2025-03-26,BAPTIST HEALTH PADUCAH,Health,Debit,-168.70,41054.53,,FCB8840291348,POS
2025-03-26,2025-03-26,WALMART SUPERCENTER,Groceries,Debit,-205.44,40849.09,,FCB7375027702,POS
2025-03-28,2025-03-28,ACH MCCRACKEN CO SCHOOLS — PAYROLL,Payroll,Credit,1050.47,41899.56,,FCB5757748734,ACH
2025-03-28,2025-03-28,MONTHLY SERVICE FEE,Bank fee,Debit,-12.00,41887.56,,FCB4229698911,FEE
2025-03-30,2025-03-30,FARM & HOME SUPPLY,Farm expense,Debit,-2381.71,39505.85,,FCB4455382686,POS
2025-03-30,2025-03-30,TRI-COUNTY FARM FUELS — BULK DELIVERY,Fuel,Debit,-1992.42,37513.43,,FCB2615534840,ACH
2025-04-01,2025-04-01,ACH PADUCAH BANK — MORTGAGE PMT,Mortgage,Debit,-585.00,36928.43,,FCB7068855687,ACH
2025-04-01,2025-04-01,SAVE-A-LOT,Groceries,Debit,-95.31,36833.12,,FCB6346702582,POS
2025-04-01,2025-04-01,WESTERN KY EQUIPMENT RENTAL,Farm expense,Debit,-1946.95,34886.17,,FCB2967420357,POS
2025-04-02,2025-04-02,OPERATING LINE — INTEREST CHARGE,Interest,Debit,-421.46,34464.71,,FCB9441022421,FEE
2025-04-03,2025-04-03,OPERATING LINE ADVANCE,LOC advance,Credit,15000.00,49464.71,,FCB7040737562,ACH
2025-04-03,2025-04-03,RURAL KING,Retail,Debit,-177.49,49287.22,,FCB7362073603,POS
2025-04-03,2025-04-03,SOUTHERN STATES CO-OP — SEED,Farm expense,Debit,-5913.14,43374.08,,FCB6550269389,POS
2025-04-05,2025-04-05,ACH FARM CREDIT MID-AMERICA — EQUIP LOAN,Loan payment,Debit,-1145.74,42228.34,,FCB5287279237,ACH
2025-04-05,2025-04-05,NETFLIX / DISNEY+ / SPOTIFY,Subscriptions,Debit,-46.97,42181.37,,FCB8236383274,ACH
2025-04-06,2025-04-06,VENMO — CALEB (COLLEGE SPENDING),College,Debit,-180.11,42001.26,,FCB3605485576,ACH
2025-04-06,2025-04-06,WALMART SUPERCENTER,Groceries,Debit,-116.58,41884.68,,FCB4723141299,POS
2025-04-07,2025-04-07,OAK LEVEL VETERINARY CLINIC,Farm expense,Debit,-1451.76,40432.92,,FCB4036344014,POS
2025-04-08,2025-04-08,VERIZON WIRELESS,Phone,Debit,-188.45,40244.47,,FCB1996296206,ACH
2025-04-09,2025-04-09,RURAL KING,Retail,Debit,-164.79,40079.68,,FCB2798911799,POS
2025-04-11,2025-04-11,ACH MCCRACKEN CO SCHOOLS — PAYROLL,Payroll,Credit,1050.47,41130.15,,FCB1981709639,ACH
2025-04-12,2025-04-12,DOLLAR GENERAL,Retail,Debit,-34.82,41095.33,,FCB3832883223,POS
2025-04-12,2025-04-12,SAVE-A-LOT,Groceries,Debit,-78.58,41016.75,,FCB5144232120,POS
2025-04-12,2025-04-12,WEST KY RECC — HOME ELECTRIC,Home utilities,Debit,-184.18,40832.57,,FCB2762744808,ACH
2025-04-13,2025-04-13,CIRCLE K,Auto fuel,Debit,-65.07,40767.50,,FCB9537140896,POS
2025-04-15,2025-04-15,EFTPS US TREASURY — FEDERAL ESTIMATED TAX,Estimated tax,Debit,-2600.00,38167.50,,FCB1594017542,ACH
2025-04-15,2025-04-15,SHELL PADUCAH,Auto fuel,Debit,-50.85,38116.65,,FCB3128063821,POS
2025-04-16,2025-04-16,WEST KY RECC / PROPANE — FARM,Farm expense,Debit,-503.54,37613.11,,FCB5844405561,ACH
2025-04-17,2025-04-17,WALMART SUPERCENTER,Groceries,Debit,-137.65,37475.46,,FCB7016592865,POS
2025-04-18,2025-04-18,HELENA AGRI — CROP PROTECTION,Farm expense,Debit,-3944.71,33530.75,,FCB1386069299,POS
2025-04-21,2025-04-21,ALDI PADUCAH,Groceries,Debit,-219.42,33311.33,,FCB6824835130,POS
2025-04-21,2025-04-21,SHELL PADUCAH,Auto fuel,Debit,-61.82,33249.51,,FCB8831558885,POS
2025-04-22,2025-04-22,PADUCAH WATER / MEDIACOM INTERNET,Home utilities,Debit,-137.14,33112.37,,FCB8805121484,ACH
2025-04-23,2025-04-23,DOLLAR GENERAL,Retail,Debit,-84.82,33027.55,,FCB3218021919,POS
2025-04-25,2025-04-25,ACH MCCRACKEN CO SCHOOLS — PAYROLL,Payroll,Credit,1050.47,34078.02,,FCB8435212383,ACH
2025-04-25,2025-04-25,OWNER DRAW / ATM — HARTWELL FAMILY,Owner draw,Debit,-1020.87,33057.15,,FCB5608934009,ATM
2025-04-26,2025-04-26,TRI-STATE EQUIPMENT — REPAIR/PARTS,Farm expense,Debit,-2083.08,30974.07,,FCB5146270106,POS
2025-04-27,2025-04-27,KROGER PADUCAH,Groceries,Debit,-100.67,30873.40,,FCB5048677674,POS
2025-04-28,2025-04-28,FARM LABOR PAYROLL — HIRED HELP,Farm expense,Debit,-1475.54,29397.86,,FCB6391920998,ACH
2025-05-01,2025-05-01,ACH PADUCAH BANK — MORTGAGE PMT,Mortgage,Debit,-585.00,28812.86,,FCB7667084410,ACH
2025-05-01,2025-05-01,FARM BUREAU INSURANCE — PREMIUM,Farm expense,Debit,-2435.14,26377.72,,FCB7941542363,ACH
2025-05-01,2025-05-01,WALMART SUPERCENTER,Groceries,Debit,-85.99,26291.73,,FCB8494620772,POS
2025-05-02,2025-05-02,OPERATING LINE — INTEREST CHARGE,Interest,Debit,-506.46,25785.27,,FCB4342319905,FEE
2025-05-03,2025-05-03,OPERATING LINE ADVANCE,LOC advance,Credit,9000.00,34785.27,,FCB5603372094,ACH
2025-05-05,2025-05-05,ACH FARM CREDIT MID-AMERICA — EQUIP LOAN,Loan payment,Debit,-1145.74,33639.53,,FCB3113172082,ACH
2025-05-05,2025-05-05,FARM TRUCK FUEL & UPKEEP,Farm expense,Debit,-1157.32,32482.21,,FCB2895972842,POS
2025-05-05,2025-05-05,NETFLIX / DISNEY+ / SPOTIFY,Subscriptions,Debit,-46.97,32435.24,,FCB7380047361,ACH
2025-05-06,2025-05-06,VENMO — CALEB (COLLEGE SPENDING),College,Debit,-267.50,32167.74,,FCB6122218254,ACH
2025-05-08,2025-05-08,SAVE-A-LOT,Groceries,Debit,-87.21,32080.53,,FCB2512381053,POS
2025-05-08,2025-05-08,VERIZON WIRELESS,Phone,Debit,-188.45,31892.08,,FCB3718068833,ACH
2025-05-09,2025-05-09,ACH MCCRACKEN CO SCHOOLS — PAYROLL,Payroll,Credit,1050.47,32942.55,,FCB5194105780,ACH
2025-05-09,2025-05-09,SOUTHERN STATES CO-OP — FERTILIZER/LIME,Farm expense,Debit,-8021.18,24921.37,,FCB3494338861,POS
2025-05-11,2025-05-11,CIRCLE K,Auto fuel,Debit,-70.58,24850.79,,FCB4442201239,POS
2025-05-12,2025-05-12,RURAL KING,Retail,Debit,-155.52,24695.27,,FCB6853310702,POS
2025-05-12,2025-05-12,WALMART SUPERCENTER,Groceries,Debit,-93.78,24601.49,,FCB3423086772,POS
2025-05-12,2025-05-12,WEST KY RECC — HOME ELECTRIC,Home utilities,Debit,-201.08,24400.41,,FCB7335840353,ACH
2025-05-13,2025-05-13,LOWE'S PADUCAH,Retail,Debit,-144.57,24255.84,,FCB2178433763,POS
2025-05-13,2025-05-13,MARATHON OAK LEVEL,Auto fuel,Debit,-40.57,24215.27,,FCB4367294253,POS
2025-05-14,2025-05-14,DOLLAR GENERAL,Retail,Debit,-55.12,24160.15,,FCB6730902436,POS
2025-05-15,2025-05-15,ACH USDA FSA — AG PROGRAM PAYMENT,Farm income,Credit,7200.00,31360.15,,FCB9114137298,DEP
2025-05-16,2025-05-16,ALDI PADUCAH,Groceries,Debit,-105.68,31254.47,,FCB3524233274,POS
2025-05-16,2025-05-16,HUCK'S #21,Auto fuel,Debit,-52.77,31201.70,,FCB9964725309,POS
2025-05-16,2025-05-16,WEST KY RECC / PROPANE — FARM,Farm expense,Debit,-405.44,30796.26,,FCB9671633852,ACH
2025-05-18,2025-05-18,TRACTOR SUPPLY CO,Retail,Debit,-64.21,30732.05,,FCB6979072031,POS
2025-05-22,2025-05-22,CIRCLE K,Auto fuel,Debit,-46.36,30685.69,,FCB5249967659,POS
2025-05-22,2025-05-22,PADUCAH WATER / MEDIACOM INTERNET,Home utilities,Debit,-161.74,30523.95,,FCB2987979782,ACH
2025-05-22,2025-05-22,SOUTHERN STATES CO-OP — SEED,Farm expense,Debit,-5086.86,25437.09,,FCB3975461581,POS
2025-05-23,2025-05-23,ACH MCCRACKEN CO SCHOOLS — PAYROLL,Payroll,Credit,1050.47,26487.56,,FCB5278608613,ACH
2025-05-23,2025-05-23,HUCK'S #21,Auto fuel,Debit,-59.06,26428.50,,FCB3074271993,POS
2025-05-24,2025-05-24,SAVE-A-LOT,Groceries,Debit,-72.61,26355.89,,FCB8044338818,POS
2025-05-25,2025-05-25,CIRCLE K,Auto fuel,Debit,-51.33,26304.56,,FCB7230927215,POS
2025-05-25,2025-05-25,OWNER DRAW / ATM — HARTWELL FAMILY,Owner draw,Debit,-1020.87,25283.69,,FCB3375919530,ATM
2025-05-27,2025-05-27,CIRCLE K,Auto fuel,Debit,-66.66,25217.03,,FCB9584463420,POS
2025-05-27,2025-05-27,SAVE-A-LOT,Groceries,Debit,-180.50,25036.53,,FCB6016090444,POS
2025-05-27,2025-05-27,SHELL PADUCAH,Auto fuel,Debit,-53.81,24982.72,,FCB9582754799,POS
2025-05-28,2025-05-28,TRI-COUNTY FARM FUELS — BULK DELIVERY,Fuel,Debit,-1893.45,23089.27,,FCB7694423151,ACH
2025-06-01,2025-06-01,ACH PADUCAH BANK — MORTGAGE PMT,Mortgage,Debit,-585.00,22504.27,,FCB8206319102,ACH
2025-06-02,2025-06-02,OPERATING LINE — INTEREST CHARGE,Interest,Debit,-548.96,21955.31,,FCB5097959992,FEE
2025-06-03,2025-06-03,KROGER PADUCAH,Groceries,Debit,-189.67,21765.64,,FCB9943774342,POS
2025-06-03,2025-06-03,OPERATING LINE ADVANCE,LOC advance,Credit,3000.00,24765.64,,FCB2006660403,ACH
2025-06-03,2025-06-03,SHELL PADUCAH,Auto fuel,Debit,-48.82,24716.82,,FCB4687927022,POS
2025-06-04,2025-06-04,DOLLAR GENERAL,Retail,Debit,-54.70,24662.12,,FCB4345412865,POS
2025-06-05,2025-06-05,ACH FARM CREDIT MID-AMERICA — EQUIP LOAN,Loan payment,Debit,-1145.74,23516.38,,FCB7579541467,ACH
2025-06-05,2025-06-05,NETFLIX / DISNEY+ / SPOTIFY,Subscriptions,Debit,-46.97,23469.41,,FCB9289443527,ACH
2025-06-05,2025-06-05,NRCS COST-SHARE CONSERVATION,Farm expense,Debit,-1200.00,22269.41,,FCB2804292113,POS
2025-06-06,2025-06-06,ACH MCCRACKEN CO SCHOOLS — PAYROLL,Payroll,Credit,1050.47,23319.88,,FCB8505078799,ACH
2025-06-06,2025-06-06,VENMO — CALEB (COLLEGE SPENDING),College,Debit,-255.95,23063.93,,FCB9744176729,ACH
2025-06-06,2025-06-06,WALMART SUPERCENTER,Groceries,Debit,-172.48,22891.45,,FCB5446625853,POS
2025-06-08,2025-06-08,VERIZON WIRELESS,Phone,Debit,-188.45,22703.00,,FCB5603917175,ACH
2025-06-09,2025-06-09,TRI-STATE EQUIPMENT — REPAIR/PARTS,Farm expense,Debit,-2361.96,20341.04,,FCB1555407169,POS
2025-06-09,2025-06-09,TRI-STATE EQUIPMENT — REPAIR/PARTS (DUP),Farm expense,Debit,-2240.00,18101.04,,FCB3626079524,POS
2025-06-11,2025-06-11,REVERSAL — TRI-STATE EQUIP (DUPLICATE),Adjustment,Credit,2240.00,20341.04,,FCB9656683567,ADJ
2025-06-11,2025-06-11,WALMART SUPERCENTER,Groceries,Debit,-203.02,20138.02,,FCB7249569089,POS
2025-06-12,2025-06-12,WEST KY RECC — HOME ELECTRIC,Home utilities,Debit,-235.00,19903.02,,FCB6256490147,ACH
2025-06-13,2025-06-13,HELENA AGRI — CROP PROTECTION,Farm expense,Debit,-3955.29,15947.73,,FCB9217919745,POS
2025-06-15,2025-06-15,OAK LEVEL CO-OP FUEL STOP,Fuel,Debit,-1186.00,14761.73,,FCB7613335450,POS
2025-06-16,2025-06-16,ALDI PADUCAH,Groceries,Debit,-141.10,14620.63,,FCB4223436257,POS
2025-06-16,2025-06-16,EFTPS US TREASURY — FEDERAL ESTIMATED TAX,Estimated tax,Debit,-2600.00,12020.63,,FCB7451273218,ACH
2025-06-16,2025-06-16,WEST KY RECC / PROPANE — FARM,Farm expense,Debit,-525.68,11494.95,,FCB5046899079,ACH
2025-06-17,2025-06-17,CIRCLE K,Auto fuel,Debit,-41.12,11453.83,,FCB6357509592,POS
2025-06-18,2025-06-18,LOWE'S PADUCAH,Retail,Debit,-28.24,11425.59,,FCB5927968762,POS
2025-06-20,2025-06-20,ACH MCCRACKEN CO SCHOOLS — PAYROLL,Payroll,Credit,1050.47,12476.06,,FCB4844163456,ACH
2025-06-20,2025-06-20,AG CUSTOM SERVICES LLC,Farm expense,Debit,-3243.94,9232.12,,FCB6133795413,POS
2025-06-20,2025-06-20,BAPTIST HEALTH PADUCAH,Health,Debit,-106.83,9125.29,,FCB7245970037,POS
2025-06-20,2025-06-20,MARATHON OAK LEVEL,Auto fuel,Debit,-53.89,9071.40,,FCB9124775072,POS
2025-06-22,2025-06-22,KROGER PADUCAH,Groceries,Debit,-170.35,8901.05,,FCB9112453511,POS
2025-06-22,2025-06-22,PADUCAH WATER / MEDIACOM INTERNET,Home utilities,Debit,-135.35,8765.70,,FCB2366076914,ACH
2025-06-22,2025-06-22,TRACTOR SUPPLY CO,Retail,Debit,-45.68,8720.02,,FCB3379619343,POS
2025-06-25,2025-06-25,OWNER DRAW / ATM — HARTWELL FAMILY,Owner draw,Debit,-1020.87,7699.15,,FCB2524955136,ATM
2025-06-27,2025-06-27,DEPOSIT CUSTOM HARVEST — NEIGHBOR ACCT,Farm income,Credit,3800.00,11499.15,,FCB6131616715,DEP
2025-06-28,2025-06-28,FARM LABOR PAYROLL — HIRED HELP,Farm expense,Debit,-1831.39,9667.76,,FCB6174561943,ACH
2025-06-29,2025-06-29,KROGER PADUCAH,Groceries,Debit,-96.74,9571.02,,FCB5606113117,POS
2025-07-01,2025-07-01,ACH PADUCAH BANK — MORTGAGE PMT,Mortgage,Debit,-585.00,8986.02,,FCB3827205277,ACH
2025-07-02,2025-07-02,CVS PHARMACY,Health,Debit,-205.22,8780.80,,FCB2259445081,POS
2025-07-02,2025-07-02,OPERATING LINE — INTEREST CHARGE,Interest,Debit,-517.08,8263.72,,FCB8030089354,FEE
2025-07-03,2025-07-03,SAVE-A-LOT,Groceries,Debit,-191.90,8071.82,,FCB1609847132,POS
2025-07-04,2025-07-04,ACH MCCRACKEN CO SCHOOLS — PAYROLL,Payroll,Credit,1050.47,9122.29,,FCB1339289295,ACH
2025-07-05,2025-07-05,ACH FARM CREDIT MID-AMERICA — EQUIP LOAN,Loan payment,Debit,-1145.74,7976.55,,FCB5744056623,ACH
2025-07-05,2025-07-05,NETFLIX / DISNEY+ / SPOTIFY,Subscriptions,Debit,-46.97,7929.58,,FCB9796358989,ACH
2025-07-06,2025-07-06,VENMO — CALEB (COLLEGE SPENDING),College,Debit,-283.71,7645.87,,FCB3219731942,ACH
2025-07-07,2025-07-07,ALDI PADUCAH,Groceries,Debit,-211.31,7434.56,,FCB9900177388,POS
2025-07-08,2025-07-08,VERIZON WIRELESS,Phone,Debit,-188.45,7246.11,,FCB3132160238,ACH
2025-07-09,2025-07-09,DEPOSIT BLUEGRASS GRAIN ELEVATOR — WHEAT,Farm income,Credit,21850.00,29096.11,,FCB8509186303,DEP
2025-07-12,2025-07-12,WEST KY RECC — HOME ELECTRIC,Home utilities,Debit,-186.30,28909.81,,FCB4330852737,ACH
2025-07-14,2025-07-14,KROGER PADUCAH,Groceries,Debit,-93.73,28816.08,,FCB3535668617,POS
2025-07-15,2025-07-15,FARM & HOME SUPPLY,Farm expense,Debit,-2518.29,26297.79,,FCB6912869329,POS
2025-07-16,2025-07-16,WEST KY RECC / PROPANE — FARM,Farm expense,Debit,-462.97,25834.82,,FCB1884563405,ACH
2025-07-17,2025-07-17,WALMART SUPERCENTER,Groceries,Debit,-176.96,25657.86,,FCB5241915929,POS
2025-07-18,2025-07-18,ACH MCCRACKEN CO SCHOOLS — PAYROLL,Payroll,Credit,1050.47,26708.33,,FCB1429962686,ACH
